lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.33807302121151,103.776250903095,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,No,No,Yes,597610
1.39037504993234,103.878461745339,PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,797702
1.31666529308968,103.767438999533,PEI TONG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,129857
1.35951583222214,103.870010749055,PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,556094
1.36665944653812,103.83021606804,PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,575566
1.41741627551251,103.830143209875,PEIYING PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768687
1.35442592930738,103.732790920197,PIONEER PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,699915
1.35765121877679,103.935246486174,POI CHING SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,Yes,529067
1.38175437421949,103.842382968794,PRESBYTERIAN HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,569845
1.34919098857585,103.740719208011,PRINCESS ELIZABETH PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659163
1.41158455562454,103.89890448429,PUNGGOL COVE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828674
1.40172590450528,103.898794262307,PUNGGOL GREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828772
