lat,lon,name,stn_code,line,operational
1.32102695598684,103.649078235627,Tuas Crescent,EW31,East West Line,1
1.32998504653102,103.639616648771,Tuas West Road,EW32,East West Line,1
1.34088242451105,103.636991425128,Tuas Link,EW33,East West Line,1
1.33454977824817,103.961548211018,Expo,CG1,Changi Airport Branch Line,1
1.35747897447692,103.98788356959,Changi Airport,CG2,Changi Airport Branch Line,1
1.26531139858465,103.820557316696,HarbourFront,NE1,North East Line,1
1.2839640518753,103.843141945391,Chinatown,NE4,North East Line,1
1.28745211415803,103.846119192727,Clarke Quay,NE5,North East Line,1
1.30724381608438,103.849841614124,Little India,NE7,North East Line,1
1.31314029963164,103.854754721344,Farrer Park,NE8,North East Line,1
1.31993957653291,103.862052698446,Boon Keng,NE9,North East Line,1
1.33137808528793,103.869363547741,Potong Pasir,NE10,North East Line,1
1.33982824592182,103.87096088798,Woodleigh,NE11,North East Line,1
1.3510482896351,103.871070417199,Serangoon,NE12,North East Line,1
1.35990191952976,103.884494725197,Kovan,NE13,North East Line,1
1.37033472429161,103.892261757937,Hougang,NE14,North East Line,1
1.38369417199994,103.893049981318,Buangkok,NE15,North East Line,1
1.39169462601522,103.895484694279,Sengkang,NE16,North East Line,1
1.41492733388605,103.910166388177,Punggol,NE17,North East Line,1
1.29686168649656,103.850667371637,Bras Basah,CC2,Circle Line,1
1.29131493573099,103.855192585584,Esplanade,CC3,Circle Line,1
1.29399798636232,103.860350000188,Promenade,CC4,Circle Line,1
1.29976684675139,103.86363696572,Nicoll Highway,CC5,Circle Line,1
1.3028124684707,103.875337711089,Stadium,CC6,Circle Line,1
1.30615406128913,103.883045148696,Mountbatten,CC7,Circle Line,1
1.30843144331463,103.889268208422,Dakota,CC8,Circle Line,1
1.32683963232487,103.890007860464,MacPherson,CC10,Circle Line,1
1.33514150139202,103.888389300191,Tai Seng,CC11,Circle Line,1
1.3424454382925,103.880197087117,Bartley,CC12,Circle Line,1
1.35153128621585,103.864812169514,Lorong Chuan,CC14,Circle Line,1
1.348707263451,103.839423132332,Marymount,CC16,Circle Line,1
1.33734722320212,103.839544077561,Caldecott,CC17,Circle Line,1
1.32238699517166,103.815385463093,Botanic Gardens,CC19,Circle Line,1
1.31743915158967,103.807379214161,Farrer Road,CC20,Circle Line,1
1.31224029631595,103.796399122407,Holland Village,CC21,Circle Line,1
1.29975987493555,103.78745750525,one-north,CC23,Circle Line,1
1.29353349887123,103.784572738173,Kent Ridge,CC24,Circle Line,1
1.28195688684898,103.781988990137,Haw Par Villa,CC25,Circle Line,1
1.27621352233766,103.791350313288,Pasir Panjang,CC26,Circle Line,1
1.27236838626952,103.803416232089,Labrador Park,CC27,Circle Line,1
1.27070647717762,103.809761611219,Telok Blangah,CC28,Circle Line,1
1.28187378879209,103.859079764874,Bayfront,CE1,Circle Line Extension,1
1.37956121236613,103.761188866252,Bukit Panjang,DT1,Downtown Line,1
1.36984601365741,103.764315051619,Cashew,DT2,Downtown Line,1
1.36288845715168,103.767780907707,Hillview,DT3,Downtown Line,1
