source_url,source_slug,name,row_count,pages_scraped,oldest_date,status,error
https://www.edgeprop.sg/condo-apartment/boon-teck-apartments,boon-teck-apartments,BOON TECK APARTMENTS,3,2,1999-04-01,ok,
https://www.edgeprop.sg/condo-apartment/boon-teck-heights,boon-teck-heights,BOON TECK HEIGHTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/boon-teck-lodge,boon-teck-lodge,BOON TECK LODGE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/boon-teck-tower,boon-teck-tower,BOON TECK TOWER,6,2,2011-05-30,ok,
https://www.edgeprop.sg/condo-apartment/boon-teck-view,boon-teck-view,BOON TECK VIEW,0,1,2011-07-05,ok,
https://www.edgeprop.sg/condo-apartment/boon-thong-building,boon-thong-building,BOON THONG BUILDING,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/boonview,boonview,BOONVIEW,16,3,2011-11-04,ok,
https://www.edgeprop.sg/condo-apartment/botanic-gardens-mansion,botanic-gardens-mansion,BOTANIC GARDENS MANSION,20,3,2015-04-29,ok,
https://www.edgeprop.sg/condo-apartment/botanic-gardens-view,botanic-gardens-view,BOTANIC GARDENS VIEW,24,4,2013-03-08,ok,
https://www.edgeprop.sg/condo-apartment/botanika,botanika,BOTANIKA,12,3,2010-04-21,ok,
https://www.edgeprop.sg/condo-apartment/botannia,botannia,BOTANNIA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bougainvilla-apartments,bougainvilla-apartments,BOUGAINVILLA APARTMENTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bougainvilla-court,bougainvilla-court,BOUGAINVILLA COURT,0,1,1998-09-03,ok,
https://www.edgeprop.sg/condo-apartment/bougainville-maisonette-apartments,bougainville-maisonette-apartments,BOUGAINVILLE MAISONETTE APARTMENTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/boulevard-vue,boulevard-vue,BOULEVARD VUE,5,2,2011-06-03,ok,
https://www.edgeprop.sg/condo-apartment/bowmont-centre,bowmont-centre,BOWMONT CENTRE,5,2,2003-08-11,ok,
https://www.edgeprop.sg/condo-apartment/braddell-park,braddell-park,BRADDELL PARK,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/braddell-regalia,braddell-regalia,BRADDELL REGALIA,0,1,2011-11-09,ok,
https://www.edgeprop.sg/condo-apartment/braddell-view,braddell-view,BRADDELL VIEW,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/breeze-by-the-east,breeze-by-the-east,BREEZE BY THE EAST,28,4,2016-07-12,ok,
https://www.edgeprop.sg/condo-apartment/breezy-mansions,breezy-mansions,BREEZY MANSIONS,4,2,2002-02-07,ok,
https://www.edgeprop.sg/condo-apartment/bright-building,bright-building,BRIGHT BUILDING,0,1,1995-07-01,ok,
https://www.edgeprop.sg/condo-apartment/brighton-view,brighton-view,BRIGHTON VIEW,0,1,2007-10-31,ok,
https://www.edgeprop.sg/condo-apartment/brightview-apartments,brightview-apartments,BRIGHTVIEW APARTMENTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bristol-lodge,bristol-lodge,BRISTOL LODGE,3,2,1995-09-01,ok,
https://www.edgeprop.sg/condo-apartment/brookvale-park,brookvale-park,BROOKVALE PARK,0,1,2012-12-17,ok,
https://www.edgeprop.sg/condo-apartment/buckley-18,buckley-18,BUCKLEY 18,15,3,2011-08-18,ok,
https://www.edgeprop.sg/condo-apartment/buckley-classique,buckley-classique,BUCKLEY CLASSIQUE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/buckley-mansions,buckley-mansions,BUCKLEY MANSIONS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/buckley-residence,buckley-residence,BUCKLEY RESIDENCE,2,2,2006-11-30,ok,
https://www.edgeprop.sg/condo-apartment/bukit-regency,bukit-regency,BUKIT REGENCY,33,5,2017-06-28,ok,
https://www.edgeprop.sg/condo-apartment/bukit-timah-mansions,bukit-timah-mansions,BUKIT TIMAH MANSIONS,0,1,2001-09-06,ok,
https://www.edgeprop.sg/condo-apartment/bullion-park,bullion-park,BULLION PARK,81,10,2017-08-18,ok,
