block,unit,area_sqft,sold,asking_price_sgd,source
55,#10-21,797,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#10-22,1216,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#10-23,990,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#10-24,797,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-17,667,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-18,1173,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-19,1163,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-20,667,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-21,797,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-22,1216,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-23,990,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#09-24,797,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#08-17,667,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
55,#08-18,1173,True,,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd
