project,block,unit,area_sqft,bedrooms,chart_status,chart_sold_date,source_url,source_as_of,huttons_status,status_conflict,huttons_source_url,price_status,price_sgd,historical_price_min_sgd,historical_price_max_sgd,source_observation_count,distinct_date_price_area_events,earliest_transaction_date,latest_transaction_date,price_source_urls,review_note
CANBERRA CRESCENT RESIDENCES,51,#06-06,990,3,sold,2025-09-05,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1989900,1989900,1989900,1,1,2025-09-06,2025-09-06,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-07,990,3,sold,2025-11-22,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1986000,1986000,1986000,1,1,2025-11-22,2025-11-22,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-08,797,3,sold,2025-08-11,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1515000,1515000,1515000,1,1,2025-08-11,2025-08-11,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#05-01,570,2,sold,2025-08-12,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1098000,1098000,1098000,1,1,2025-08-12,2025-08-12,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#05-02,883,3,sold,2025-09-27,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1727200,1727200,1727200,1,1,2025-09-26,2025-09-26,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#05-03,990,3,sold,2025-11-22,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,2003300,2003300,2003300,1,1,2025-11-17,2025-11-17,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#05-04,667,2,sold,2025-08-16,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1330100,1330100,1330100,1,1,2025-08-17,2025-08-17,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#05-05,797,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1531200,1531200,1531200,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#05-06,990,3,sold,2026-01-09,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,2004900,2004900,2004900,2,1,2026-01-10,2026-01-10,https://propertynoob.com/condo/canberra-crescent-residences/sales|https://propertystory.sg/canberra-crescent-residences/,
CANBERRA CRESCENT RESIDENCES,51,#05-07,990,3,sold,2026-04-02,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1981100,1981100,1981100,2,1,2026-04-03,2026-04-03,https://propertynoob.com/condo/canberra-crescent-residences/sales|https://propertystory.sg/canberra-crescent-residences/,
