Project,planning_area,Postal District,Date of Sale,Address,Street,unit_number,unit_floor,unit_stack,unit_number_status,unit_number_source,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug,source_page,source_row
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,31 Dec 2025,57 CANBERRA CRESCENT #11-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2088,2067400,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,9
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,26 Dec 2025,55 CANBERRA CRESCENT #06-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1999,2432000,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,10
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,24 Dec 2025,55 CANBERRA CRESCENT #07-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2005,2438200,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,1
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,19 Dec 2025,55 CANBERRA CRESCENT #10-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1986,2330100,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,2
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,12 Dec 2025,57 CANBERRA CRESCENT #01-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2035,1621300,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,3
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,10 Dec 2025,53 CANBERRA CRESCENT #01-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,1962,1563100,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,4
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,8 Dec 2025,57 CANBERRA CRESCENT #01-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2011,1602100,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,5
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,7 Dec 2025,55 CANBERRA CRESCENT #01-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2011,1602100,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,6
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,29 Nov 2025,53 CANBERRA CRESCENT #01-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,1962,1731500,Apartment,99 yrs from 04/11/2024,New Sale,883,82.033,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,25 Nov 2025,55 CANBERRA CRESCENT #08-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1976,2318600,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,8
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,22 Nov 2025,51 CANBERRA CRESCENT #06-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2005,1986000,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,9
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,19 Nov 2025,55 CANBERRA CRESCENT #02-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2016,1606100,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,6,10
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,18 Nov 2025,57 CANBERRA CRESCENT #02-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2016,1606100,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,1
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,17 Nov 2025,51 CANBERRA CRESCENT #05-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2023,2003300,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,2
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,15 Nov 2025,57 CANBERRA CRESCENT #01-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2011,1774700,Apartment,99 yrs from 04/11/2024,New Sale,883,82.033,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,3
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,14 Nov 2025,57 CANBERRA CRESCENT #05-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2057,2036600,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,4
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,13 Nov 2025,57 CANBERRA CRESCENT #05-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2032,1618200,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,5
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,11 Nov 2025,57 CANBERRA CRESCENT #03-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2021,1610100,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,6
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,8 Nov 2025,57 CANBERRA CRESCENT #10-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2082,2062200,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,5 Nov 2025,55 CANBERRA CRESCENT #02-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1947,2284200,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,8
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,1 Nov 2025,53 CANBERRA CRESCENT #08-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1941,2361000,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,7,9
