record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url
propertynoob-231,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#12-02,2025-09-11,1740400,883,1972,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-230,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#09-24,2025-09-09,1618100,797,2031,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-229,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-08,2025-09-09,1525900,797,1916,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-228,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-21,2025-09-07,1609100,797,2020,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-227,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#10-22,2025-09-06,2431900,1216,1999,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-226,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#12-06,2025-09-06,2019800,990,2040,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-225,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#06-06,2025-09-06,1989900,990,2009,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-224,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-20,2025-09-06,1369100,667,2052,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-223,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#09-22,2025-09-05,2425800,1216,1994,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-222,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#08-16,2025-09-05,1574700,797,1977,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-221,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#08-05,2025-09-05,1557900,797,1956,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-220,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#07-13,2025-09-04,1589600,797,1996,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-219,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#12-10,2025-09-03,1761900,883,1996,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-218,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#09-02,2025-08-31,1744400,883,1976,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-217,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-20,2025-08-31,1372500,667,2057,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-216,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#04-32,2025-08-31,1340100,667,2008,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-215,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#08-06,2025-08-29,1999800,990,2019,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-214,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#01-30,2025-08-27,2391000,1216,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-213,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#07-27,2025-08-25,2588900,1324,1955,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-212,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#10-02,2025-08-24,1731700,883,1962,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-211,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#08-24,2025-08-24,1598300,797,2007,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-210,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#09-32,2025-08-24,1356900,667,2033,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-209,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#11-32,2025-08-24,1350400,667,2023,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-208,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#05-32,2025-08-24,1330300,667,1993,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-207,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#10-03,2025-08-23,1988000,990,2008,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-206,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#07-03,2025-08-23,1974000,990,1993,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-205,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#05-31,2025-08-23,1757300,883,1991,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-204,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#12-05,2025-08-23,1704525,872,1955,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-203,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#11-28,2025-08-23,1629600,797,2046,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-202,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-21,2025-08-23,1597400,797,2005,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-201,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#05-24,2025-08-23,1586400,797,1992,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-200,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#07-08,2025-08-23,1519000,797,1907,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-199,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#06-04,2025-08-23,1333100,667,1998,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-198,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#11-03,2025-08-22,1993000,990,2013,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-197,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-05,2025-08-22,1523600,797,1913,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
