record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url,linked_unit,unit_link_status,candidate_unit_count,candidate_units,chart_sold_date,transaction_minus_chart_days,local_ura_matching_record_count,current_edgeprop_matching_record_count,local_ura_check
propertynoob-284,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#05-18,2025-10-31,2278400,1173,1942,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-18,published_full_unit,1,#05-18,2025-10-31,0,1,1,matching_public_signature_not_unit_proof
propertynoob-283,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#09-26,2025-10-31,2036600,990,2057,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#09-26,published_full_unit,1,#09-26,2025-10-30,1,1,1,matching_public_signature_not_unit_proof
propertynoob-282,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#06-26,2025-10-31,2021300,990,2041,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-26,published_full_unit,1,#06-26,2025-10-31,0,1,1,matching_public_signature_not_unit_proof
propertynoob-281,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#06-25,2025-10-31,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-25,published_full_unit,1,#06-25,2025-10-30,1,2,0,matching_public_signature_not_unit_proof
propertynoob-280,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#03-16,2025-10-31,1555300,797,1953,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-16,published_full_unit,1,#03-16,2025-10-30,1,1,1,matching_public_signature_not_unit_proof
propertynoob-279,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-08,2025-10-31,1514700,797,1902,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-08,published_full_unit,1,#02-08,2025-10-30,1,1,1,matching_public_signature_not_unit_proof
propertynoob-278,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#01-32,2025-10-31,1330100,667,1993,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#01-32,published_full_unit,1,#01-32,2025-10-30,1,1,1,matching_public_signature_not_unit_proof
propertynoob-277,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#06-03,2025-10-30,1988400,990,2008,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-03,published_full_unit,1,#06-03,2025-10-29,1,1,1,matching_public_signature_not_unit_proof
propertynoob-276,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#01-13,2025-10-29,1566100,797,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#01-13,published_full_unit,1,#01-13,2025-10-28,1,1,1,matching_public_signature_not_unit_proof
propertynoob-275,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-04,2025-10-29,1333200,667,1998,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-04,published_full_unit,1,#02-04,2025-10-28,1,1,1,matching_public_signature_not_unit_proof
propertynoob-274,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#04-16,2025-10-28,1559100,797,1957,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-16,published_full_unit,1,#04-16,2025-10-27,1,1,1,matching_public_signature_not_unit_proof
propertynoob-273,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#04-25,2025-10-27,1598000,797,2006,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-25,published_full_unit,1,#04-25,2025-10-26,1,2,1,matching_public_signature_not_unit_proof
propertynoob-272,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-02,2025-10-25,1714200,883,1942,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-02,published_full_unit,1,#02-02,2025-10-24,1,1,1,matching_public_signature_not_unit_proof
propertynoob-271,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#07-25,2025-10-25,1610000,797,2021,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-25,published_full_unit,1,#07-25,2025-10-24,1,1,1,matching_public_signature_not_unit_proof
propertynoob-270,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-28,2025-10-25,1609100,797,2020,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-28,published_full_unit,1,#02-28,2025-10-24,1,1,1,matching_public_signature_not_unit_proof
propertynoob-269,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#12-24,2025-10-23,1630200,797,2047,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#12-24,published_full_unit,1,#12-24,2025-10-22,1,1,1,matching_public_signature_not_unit_proof
propertynoob-268,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-24,2025-10-23,1594000,797,2001,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-24,published_full_unit,1,#03-24,2025-10-22,1,1,1,matching_public_signature_not_unit_proof
propertynoob-267,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#02-15,2025-10-22,1719200,872,1972,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-15,published_full_unit,1,#02-15,2025-10-26,-4,1,1,matching_public_signature_not_unit_proof
propertynoob-266,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#07-06,2025-10-21,1994800,990,2014,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-06,published_full_unit,1,#07-06,2025-10-20,1,1,1,matching_public_signature_not_unit_proof
propertynoob-265,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-02,2025-10-21,1718500,883,1947,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-02,published_full_unit,1,#03-02,2025-10-20,1,1,1,matching_public_signature_not_unit_proof
propertynoob-264,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#08-25,2025-10-21,1614000,797,2026,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#08-25,published_full_unit,1,#08-25,2025-10-20,1,1,1,matching_public_signature_not_unit_proof
propertynoob-263,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#04-24,2025-10-19,1598000,797,2006,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-24,published_full_unit,1,#04-24,2025-10-18,1,2,1,matching_public_signature_not_unit_proof
propertynoob-262,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#04-02,2025-10-17,1722800,883,1952,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-02,published_full_unit,1,#04-02,2025-10-18,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-261,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#09-25,2025-10-17,1618100,797,2031,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#09-25,published_full_unit,1,#09-25,2025-10-18,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-260,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#02-16,2025-10-17,1551400,797,1948,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-16,published_full_unit,1,#02-16,2025-10-18,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-259,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-19,2025-10-16,2240200,1163,1927,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-19,published_full_unit,1,#03-19,2025-10-15,1,1,1,matching_public_signature_not_unit_proof
propertynoob-258,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#11-24,2025-10-15,1626200,797,2042,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-24,published_full_unit,1,#11-24,2025-10-14,1,1,1,matching_public_signature_not_unit_proof
propertynoob-257,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-31,2025-10-13,1761400,883,1996,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-31,published_full_unit,1,#02-31,2025-10-13,0,1,1,matching_public_signature_not_unit_proof
propertynoob-256,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#06-24,2025-10-13,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-24,published_full_unit,1,#06-24,2025-10-13,0,2,1,matching_public_signature_not_unit_proof
propertynoob-255,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#05-16,2025-10-10,1563000,797,1962,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-16,published_full_unit,1,#05-16,2025-10-11,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-254,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-18,2025-10-09,2267000,1173,1932,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-18,published_full_unit,1,#03-18,2025-10-08,1,1,1,matching_public_signature_not_unit_proof
propertynoob-253,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#06-16,2025-10-08,1566900,797,1967,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-16,published_full_unit,1,#06-16,2025-10-08,0,1,1,matching_public_signature_not_unit_proof
propertynoob-252,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-08,2025-10-08,1518800,797,1907,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-08,published_full_unit,1,#03-08,2025-10-08,0,1,1,matching_public_signature_not_unit_proof
propertynoob-251,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#04-15,2025-10-06,1727800,872,1982,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-15,published_full_unit,1,#04-15,2025-10-05,1,1,1,matching_public_signature_not_unit_proof
propertynoob-250,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#07-16,2025-10-06,1570900,797,1972,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-16,published_full_unit,1,#07-16,2025-10-08,-2,1,1,matching_public_signature_not_unit_proof
propertynoob-249,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#09-03,2025-10-04,2003500,990,2023,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#09-03,published_full_unit,1,#09-03,2025-10-03,1,1,1,matching_public_signature_not_unit_proof
propertynoob-248,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-32,2025-09-29,1333500,667,1998,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-32,published_full_unit,1,#02-32,2025-10-03,-4,1,1,matching_public_signature_not_unit_proof
propertynoob-247,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-02,2025-09-26,1727200,883,1957,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-02,published_full_unit,1,#05-02,2025-09-27,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-246,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#02-12,2025-09-25,1335800,667,2002,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-12,published_full_unit,1,#02-12,2025-09-27,-2,1,1,matching_public_signature_not_unit_proof
propertynoob-245,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#03-32,2025-09-23,1336700,667,2003,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-32,published_full_unit,1,#03-32,2025-09-23,0,1,1,matching_public_signature_not_unit_proof
propertynoob-244,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-05,2025-09-22,1534700,797,1927,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-05,published_full_unit,1,#02-05,2025-09-21,1,1,1,matching_public_signature_not_unit_proof
propertynoob-243,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-04,2025-09-21,1336200,667,2002,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-04,published_full_unit,1,#03-04,2025-09-21,0,1,1,matching_public_signature_not_unit_proof
propertynoob-242,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#08-26,2025-09-20,2031400,990,2051,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#08-26,published_full_unit,1,#08-26,2025-09-19,1,1,1,matching_public_signature_not_unit_proof
propertynoob-241,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#10-25,2025-09-19,1622200,797,2037,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#10-25,published_full_unit,1,#10-25,2025-09-18,1,1,1,matching_public_signature_not_unit_proof
propertynoob-240,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#04-08,2025-09-17,1522900,797,1912,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-08,published_full_unit,1,#04-08,2025-09-17,0,1,1,matching_public_signature_not_unit_proof
