Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LAKESIDE GROVE,"2,628,000","1,619.98","1,622",Oct-25,CORPORATION RISE,Resale,Land,150.5,"17,462",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTWOOD PARK,"2,462,888","2,300.27","1,071",Oct-25,WESTWOOD CRESCENT,Resale,Land,213.7,"11,525",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,280,000","1,821.27","1,252",Oct-25,WESTWOOD CRESCENT,Resale,Land,169.2,"13,475",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"3,100,000","3,156",982,Sep-25,WESTWOOD CRESCENT,Resale,Land,293.2,"10,573",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,480,000","1,614.6","1,536",Sep-25,CORPORATION RISE,Resale,Land,150,"16,533",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
LAKESIDE GROVE,"3,088,000","2,149.57","1,437",Aug-25,CORPORATION RISE,Resale,Land,199.7,"15,463",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTWOOD PARK,"2,250,000","1,614.6","1,394",Aug-25,WESTWOOD CRESCENT,Resale,Land,150,"15,000",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,428,000","1,614.6","1,504",Jul-25,WESTWOOD DRIVE,Resale,Land,150,"16,187",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,180,000","1,737.31","1,255",Jul-25,WESTWOOD TERRACE,Resale,Land,161.4,"13,507",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,500,000","2,311.03","1,082",Jul-25,WESTWOOD WALK,Resale,Land,214.7,"11,644",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,330,000","1,747","1,334",Jun-25,WESTWOOD ROAD,Resale,Land,162.3,"14,356",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,268,000","1,672.73","1,356",May-25,WESTWOOD CRESCENT,Resale,Land,155.4,"14,595",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,650,000","2,203.39","1,203",May-25,WESTWOOD CRESCENT,Resale,Land,204.7,"12,946",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"4,280,000","2,518.78","1,699",May-25,YUNNAN WALK 2,Resale,Land,234,"18,291",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTWOOD PARK,"2,250,000","1,614.6","1,394",Apr-25,WESTWOOD DRIVE,Resale,Land,150,"15,000",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,573,888","2,153.88","1,195",Mar-25,WESTWOOD AVENUE,Resale,Land,200.1,"12,863",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"4,500,000","2,952.57","1,524",Mar-25,YUNNAN CRESCENT,Resale,Land,274.3,"16,405",-,Terrace House,1,Freehold,22,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,370,000","1,633.98","1,450",Mar-25,WESTWOOD AVENUE,Resale,Land,151.8,"15,613",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,400,000","1,823.42","1,316",Mar-25,WESTWOOD CRESCENT,Resale,Land,169.4,"14,168",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"3,300,000","2,549.99","1,294",Mar-25,YUNNAN DRIVE 1,Resale,Land,236.9,"13,930",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTVILLE,"2,150,000","1,616.75","1,330",Feb-25,WESTWOOD TERRACE,Resale,Land,150.2,"14,314",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,400,000","2,260.44","1,062",Jan-25,WESTWOOD DRIVE,Resale,Land,210,"11,429",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,600,000","1,609.22","1,616",Jan-25,CORPORATION RISE,Resale,Land,149.5,"17,391",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
LAKESIDE GROVE,"2,260,000","1,612.45","1,402",Jan-25,CORPORATION RISE,Resale,Land,149.8,"15,087",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTVILLE,"2,655,888","2,152.8","1,234",Dec-24,WESTWOOD WALK,Resale,Land,200,"13,279",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,715,000","2,154.95","1,260",Dec-24,WESTWOOD CRESCENT,Resale,Land,200.2,"13,561",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,688,888","3,103.26",866,Dec-24,WESTWOOD WALK,Resale,Land,288.3,"9,327",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,200,000","1,672.73","1,315",Nov-24,WESTWOOD CRESCENT,Resale,Land,155.4,"14,157",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"3,800,000","2,549.99","1,490",Nov-24,YUNNAN ROAD,Resale,Land,236.9,"16,041",-,Terrace House,1,Freehold,22,Outside Central Region,-
LAKESIDE GROVE,"2,300,000","1,618.91","1,421",Oct-24,CORPORATION RISE,Resale,Land,150.4,"15,293",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTVILLE,"2,650,168","2,152.8","1,231",Oct-24,WESTWOOD WALK,Resale,Land,200,"13,251",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,618,888","2,156.03","1,215",Sep-24,WESTWOOD WALK,Resale,Land,200.3,"13,075",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,100,000","3,653.3","1,396",Sep-24,YUNNAN ROAD,Resale,Land,339.4,"15,027",-,Terrace House,1,Freehold,22,Outside Central Region,-
LAKESIDE GROVE,"2,480,000","1,615.68","1,535",Aug-24,CORPORATION WALK,Resale,Land,150.1,"16,522",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
YUNNAN GARDENS,"4,940,000","2,948.26","1,676",Aug-24,YUNNAN CRESCENT,Resale,Land,273.9,"18,036",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTWOOD PARK,"2,230,000","1,614.6","1,381",Aug-24,WESTWOOD DRIVE,Resale,Land,150,"14,867",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,438,000","2,104.36","1,159",Aug-24,WESTWOOD CRESCENT,Resale,Land,195.5,"12,471",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,300,000","1,672.73","1,375",Jun-24,WESTWOOD CRESCENT,Resale,Land,155.4,"14,801",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"3,750,000","4,465.98",840,Jun-24,WESTWOOD AVENUE,Resale,Land,414.9,"9,038",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,490,000","1,624.29","1,533",May-24,CORPORATION RISE,Resale,Land,150.9,"16,501",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTWOOD PARK,"2,250,000","1,614.6","1,394",Apr-24,WESTWOOD DRIVE,Resale,Land,150,"15,000",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,525,000","2,151.72","1,173",Apr-24,WESTWOOD WALK,Resale,Land,199.9,"12,631",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,650,000","2,255.06","1,175",Apr-24,WESTWOOD WALK,Resale,Land,209.5,"12,649",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,300,000","2,149.57","1,070",Mar-24,WESTWOOD TERRACE,Resale,Land,199.7,"11,517",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
