lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.33650394789626,103.7361037457481,FUHUA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,609647
1.347014089137569,103.7265208983193,FUHUA SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649410
1.285955402995434,103.815228209494,GAN ENG SENG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,158901
1.289071144857723,103.8237336730892,GAN ENG SENG SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,159561
1.317591267572844,103.883845744916,GEYLANG METHODIST SCHOOL (PRIMARY),PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,389706
1.31764900474602,103.8826611293028,GEYLANG METHODIST SCHOOL (SECONDARY),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,389705
1.357237213932984,103.9491153201717,GONGSHANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529176
1.39648195114255,103.9123346207095,GREENDALE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828848
1.396960199368946,103.9117001408394,GREENDALE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828866
1.385889219369218,103.7677944692579,GREENRIDGE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,677744
1.375600053443009,103.7639989140813,GREENRIDGE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,678972
1.440110486719603,103.8045151806054,GREENWOOD PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,737942
1.344409435256954,103.8502121630782,GUANGYANG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,579807
1.374337170747808,103.9545445489052,HAI SING CATHOLIC SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,519421
1.311943442713839,103.9029025571947,HAIG GIRLS' SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,GIRLS' SCHOOL,No,No,No,No,427072
1.316747351735148,103.7841298503157,HENRY PARK PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,Yes,No,No,278790
1.352735766159136,103.7529864883989,HILLGROVE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659250
1.371545088222631,103.8963988142639,HOLY INNOCENTS' HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,534786
1.366938308773486,103.8941148997942,HOLY INNOCENTS' PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,536451
1.321755811040002,103.8577338167962,HONG WEN SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,327829
1.399550034492005,103.9134048556651,HORIZON PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828819
1.377375309548064,103.8809000196979,HOUGANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,534238
1.377628795531905,103.8825391089642,HOUGANG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,534256
1.352343654883408,103.7218323201689,HUA YI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649371
1.426972845129362,103.8442402265639,HUAMIN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768857
1.32561493280909,103.8057305748391,HWA CHONG INSTITUTION,MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,WEST,CO-ED SCHOOL,No,Yes,Yes,Yes,269734
1.42927790140509,103.7905927238076,INNOVA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,737888
1.427606111273018,103.830401099055,JIEMIN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768515
1.371964457201105,103.8517635316804,JING SHAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569228
1.347870747667462,103.9392217090732,JUNYUAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,528906
1.353613152635378,103.9338861658239,JUNYUAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,528933
1.384374064107325,103.7543746151894,JURONG PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,688258
1.348438596989479,103.7331565668572,JURONG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,609476
1.33002032220943,103.7239529616472,JURONG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,618652
1.339712731758939,103.6987436070582,JURONG WEST PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648368
1.335256346883231,103.7020989044422,JURONG WEST SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648348
1.351288627702855,103.7289077100888,JURONGVILLE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,609790
1.338722773413297,103.6873102645743,JUYING SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649038
1.345063498430928,103.7559232279702,KEMING PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659762
1.301227734260989,103.7648896175657,KENT RIDGE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,127368
1.337288183699631,103.8471411228485,KHENG CHENG SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,319580
1.310996740091935,103.8883520290672,KONG HWA SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,Yes,399772
1.39369034929329,103.7468317487105,KRANJI PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,689189
1.390051098713108,103.7411906648444,KRANJI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,689333
1.349398136695366,103.8550182333104,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,579793
1.350171299303138,103.8549837464155,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,579795
