stop_code,lat,lon,route_count,stop_name
15111,1.28676,103.78484,1,Sci Pk 2/The Galen
15119,1.28704,103.78501,2,Opp Sci Pk 2/The Galen
15121,1.28894,103.78373,1,Sci Pk 2/The Gemini
15129,1.28916,103.78402,2,Opp Sci Pk 2/The Gemini
15131,1.29254,103.78449,3,Kent Ridge Stn
15139,1.29241,103.78458,5,Kent Ridge Stn Exit B
15141,1.27276,103.80096,8,Labrador Pk Stn
15149,1.27342,103.80056,9,Opp Labrador Pk Stn
15151,1.27389,103.79822,8,Opp Mapletree Biz City
15159,1.27426,103.79839,9,Mapletree Business City
15161,1.27444,103.79666,8,Opp HarbourSide Bldg 2
15169,1.27481,103.79674,9,HarbourSide Bldg 2
15181,1.29108,103.78541,3,1A Sci Pk Dr (Geneo)
15189,1.2908,103.7855,2,Ascent
15191,1.27581,103.79264,7,Pasir Panjang Stn/FC
15199,1.27604,103.79318,8,Opp Currency Hse
15201,1.27681,103.78971,8,Aft Pasir Panjang Stn
15209,1.27707,103.79023,8,Bef Pasir Panjang Stn
15211,1.27792,103.78643,2,Opp Pasir View Pk
15219,1.27818,103.78701,7,Pasir View Pk
15221,1.2795,103.78549,7,Aft Sth Buona Vista Rd
15229,1.27938,103.78573,6,Bef Sth Buona Vista Rd
16009,1.29425,103.76988,9,Kent Ridge Ter
16011,1.28278,103.78187,8,Opp Haw Par Villa Stn
16019,1.28278,103.78218,7,Haw Par Villa Stn
16021,1.28626,103.77981,7,Opp Gloria Mansion
16029,1.28608,103.78022,6,Gloria Mansion
16031,1.28801,103.77846,8,Opp S'pore Science Pk II
16039,1.28799,103.77872,7,S'pore Science Pk II
16041,1.28931,103.7766,8,Opp Luxe Ville
16049,1.28911,103.77739,7,Whitehaven
16051,1.29015,103.77426,8,The Crystal Tabernacle Ch
16059,1.28967,103.77593,7,Jamiyah Halfway Hse
16061,1.29046,103.77356,9,Opp Heng Mui Keng Terr
16069,1.29065,103.7737,8,Heng Mui Keng Terr
