lat,lon,name,stn_code,line,operational,network_status,planned_opening,status_as_of,network_status_source,geometry_basis,geometry_source
1.3164324721955845,103.88290604462229,Aljunied,EW9,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3573321352640935,103.73345298368655,Tengah Plantation,JE1,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3523297593717925,103.7367909105953,Tengah Park,JE2,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3456739510392088,103.73950196752172,Bukit Batok West,JE3,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3399090568905165,103.742494812135,Toh Guan,JE4,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.333209024406938,103.74226323357735,Jurong East,JE5,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3263789776471053,103.74521205260879,Jurong Town Hall,JE6,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.320458223153171,103.7448007651914,Pandan Reservoir,JE7,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3851009447007478,103.7444056427662,Choa Chu Kang,JS1,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3254102896356106,103.70924521471403,Tukang,JS10,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3186246498002983,103.71013468205803,Jurong Hill,JS11,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.313131168920915,103.71039877677765,Jurong Pier,JS12,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3792210090842536,103.74001342904067,Choa Chu Kang West,JS2,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3663843951975747,103.73008354165445,Tengah,JS3,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3580131191311908,103.72610121212793,Hong Kah,JS4,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.352969534325782,103.71381299545625,Corporation,JS5,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3491851409286144,103.70825683283655,Jurong West,JS6,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3461917322908319,103.70303410199654,Bahar Junction,JS7,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3386040235633818,103.70605907165447,Boon Lay,JS8,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3327316696655689,103.70857975779323,Enterprise,JS9,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3483461900930258,103.69811603259505,Gek Poh,JW1,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.350658112905559,103.6918897365732,Tawas,JW2,Jurong Region Line,0,planned,2028,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3536887485623879,103.68660681630412,Nanyang Gateway,JW3,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3484063188524165,103.6808044018065,Nanyang Crescent,JW4,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3432055533670537,103.6785642956184,Peng Kang Hill,JW5,Jurong Region Line,0,planned,2029,2026-08-08,lta_jrl_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.265341837378836,103.82149832356076,HarbourFront,NE1,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3313873883895007,103.86906995797435,Potong Pasir,NE10,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3392070867482375,103.87080919000739,Woodleigh,NE11,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.350005490735138,103.87313727417494,Serangoon,NE12,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3601798706506054,103.88509111564177,Kovan,NE13,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.371281174691941,103.89234753407565,Hougang,NE14,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.382771583513829,103.89309246857367,Buangkok,NE15,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3915125715438703,103.89541304228126,Sengkang,NE16,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.4051306108922648,103.90237295989755,Punggol,NE17,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.4149380395652096,103.91021788518965,Punggol Coast,NE18,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2806594461192335,103.83931247739983,Outram Park,NE3,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2844473786444484,103.84393203026923,Chinatown,NE4,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2885422163244435,103.8466047937103,Clarke Quay,NE5,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.29937532378885,103.84571545130635,Dhoby Ghaut,NE6,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3071606312976864,103.84930972983781,Little India,NE7,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3124482279810736,103.85427015831633,Farrer Park,NE8,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3194470897134363,103.86168108539829,Boon Keng,NE9,North East Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.333209024406938,103.74226323357735,Jurong East,NS1,North-South Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.440587089699446,103.80097700864262,Admiralty,NS10,North-South Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
