estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,model_version,band,value_score,value_band,mult,value_basis,reported
TOA PAYOH,private_resale,3306,-0.009522574074077639,-0.009436939415138287,decimal,4.47,4.7,5.0,4.4,4.2,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,3.5,1.0,3.0,5.0,4.21,1.0,4.21,4.14,4.14,False,2.1.0,B+,4.17925385599414,B+,1.009481607728053,direct,4.18
BOON KENG,private_resale,1561,-0.04092764486810907,-0.040155910521130676,decimal,4.63,4.32,3.3,5.0,4.6,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.5,3.0,1.0,2.0,3.8,3.92,1.0,3.92,3.92,3.92,False,2.1.0,B,4.080614395957775,B+,1.0409730601933098,direct,4.08
CHOA CHU KANG,private_resale,6241,-0.10877640015205792,-0.1082560219022475,decimal,3.7,2.89,4.0,5.0,3.45,4.5,4.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,4.5,4.0,2.0,4.0,1.8,3.64,1.0,3.64,3.65,3.65,False,2.1.0,B,4.067315459212291,B+,1.1143330025239153,direct,4.07
WOODLANDS,private_resale,1035,-0.15645627713660915,-0.1520490580623391,decimal,3.2,3.49,2.0,5.0,3.8,5.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,1.0,4.0,1.8,3.33,1.0,3.33,3.45,3.45,False,2.1.0,C,4.01654985501074,B+,1.1642173492784753,direct,4.02
GEYLANG,private_resale,5032,-0.06294875890866436,-0.06257569238016589,decimal,3.79,4.55,3.3,5.0,4.35,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,4.4,3.73,1.0,3.73,3.75,3.75,False,2.1.0,B,3.9921563853248574,B,1.0645750360866286,direct,3.99
ANG MO KIO,private_resale,5032,-0.07769219398961535,-0.07723175032709306,decimal,3.57,4.06,4.0,5.0,4.5,4.5,3.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,4.0,4.4,3.64,1.0,3.64,3.67,3.67,False,2.1.0,B,3.9646731281955874,B,1.0802924055028849,direct,3.96
CLEMENTI,private_resale,8209,-0.050099755377894795,-0.0499173312170335,decimal,3.75,4.02,3.0,5.0,4.75,4.5,4.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,4.5,1.0,3.0,3.4,3.67,1.0,3.67,3.72,3.72,False,2.1.0,B,3.910405196717819,B,1.0511841926660803,direct,3.91
JURONG EAST,private_resale,2602,-0.038378682205630454,-0.03794123522000422,decimal,4.25,4.32,2.0,4.4,4.2,4.5,4.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,3.4,3.64,1.0,3.64,3.66,3.66,False,2.1.0,B,3.801532909526183,B,1.0386701938596128,direct,3.8
BUKIT MERAH,private_resale,1811,0.06128260962737819,0.06028397937815386,decimal,4.34,4.36,3.0,5.0,4.35,4.5,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,4.4,3.99,1.0,3.99,3.98,3.98,False,2.1.0,B,3.7471585767950577,B,0.9414971298480045,direct,3.75
TAMPINES EAST,private_resale,6883,-0.13384287146932827,-0.13326204026086896,decimal,,,,,,,,,,,,,,,,,,,,,,,3.22,,,,2.1.0,,3.67900891678305,B,1.1425493530382143,proxy_from:TAMPINES,3.68
WOODLEIGH,private_resale,3306,-0.009522574074077639,-0.009436939415138287,decimal,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,2.1.0,,3.6240389717437105,B,1.009481607728053,proxy_from:TOA PAYOH,3.62
SERANGOON,private_resale,12373,-0.07932370429084479,-0.07913183852218199,decimal,2.05,3.49,3.0,5.0,3.0,1.5,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.5,2.0,4.0,4.4,3.15,1.0,3.15,3.25,3.25,False,2.1.0,C,3.517627775006669,B,1.0823470076943598,direct,3.52
BISHAN,private_resale,3536,0.04235204843036122,0.041995749649398936,decimal,3.63,3.34,4.0,5.0,3.55,4.5,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,1.8,3.62,1.0,3.62,3.66,3.66,False,2.1.0,B,3.509478313376852,B,0.958873856113894,direct,3.51
CENTRAL AREA,private_resale,4000,0.2090507288897996,0.20749451998987536,decimal,4.31,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,4.5,5.0,1.0,3.0,4.8,4.22,1.0,4.22,4.21,4.21,False,2.1.0,B+,3.4211204955883256,C,0.8126176949140916,direct,3.42
BUKIT TIMAH,private_resale,14192,0.1251726078229396,0.12490856772768656,decimal,4.02,3.76,4.0,4.6,3.55,3.5,5.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,4.8,3.86,1.0,3.86,3.87,3.87,False,2.1.0,B,3.4155752925362073,C,0.8825775949705962,direct,3.42
QUEENSTOWN,private_resale,5714,0.17863818506124218,0.17770518618383307,decimal,3.04,4.28,2.0,5.0,4.3,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,3.53,1.0,3.53,3.59,3.59,False,2.1.0,B,3.0055092353725192,C,0.8371892020536266,direct,3.01
DOVER,private_resale,5714,0.17863818506124218,0.17770518618383307,decimal,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,2.1.0,,2.9469059912287654,D,0.8371892020536266,proxy_from:QUEENSTOWN,2.95
KALLANG,private_resale,996,0.2652312468551088,0.25747594723946166,decimal,4.63,4.11,4.3,3.8,3.6,4.5,5.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.5,2.5,1.0,1.0,3.8,3.78,1.0,3.78,3.71,3.71,False,2.1.0,B,2.8678308120412455,D,0.7730002188790419,direct,2.87
MARINE PARADE,private_resale,11691,0.06991299718091781,0.06973405426517443,decimal,2.63,3.0,4.3,4.4,3.4,3.5,3.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.4,3.03,1.0,3.03,3.07,3.07,False,2.1.0,C,2.8632103844565586,D,0.9326418190412243,direct,2.86
TENGAH,private_resale,863,-0.09549302024288231,-0.09228496805107289,decimal,1.5,1.75,3.0,4.4,3.35,3.0,1.0,1.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,4.5,3.5,1.0,5.0,1.8,2.39,1.0,2.39,2.51,2.51,False,2.1.0,F,2.7526600118249602,D,1.096677295547793,direct,2.75
LENTOR,private_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,2.1.0,,,N/A,,no_hdb_segment,no private-segment match
HOLLAND VILLAGE,private_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,2.1.0,,,N/A,,no_hdb_segment,no private-segment match
