profile_id,estate,tenure,eligible,rank,profile_score,soft_weight_covered,filter_reasons,borderline_flags,persona,horizon,life_path,liveability_score,liveability_band,life_path_end_score,life_path_delta,value_score,value_band,value_basis,value_n,employment_score,employment_band,lease_score,lease_band,provision_score,provision_band,archetype,measured_only
forming-family-condo-balanced,PASIR RIS,condo,False,,3.957,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,4.19,B+,4.19,0.353,,no_data,no_data,,2.65,D,,,3.98,,C,False
forming-family-condo-balanced,BUKIT PANJANG,condo,False,,3.943,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,4.039,B+,4.039,0.287,,no_data,no_data,,3.35,C,,,4.01,,B,False
forming-family-condo-balanced,BUKIT BATOK,condo,False,,3.879,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,3.87,B,3.87,0.274,,no_data,no_data,,4.08,B+,,,3.73,,B,False
forming-family-condo-balanced,JURONG WEST,condo,False,,3.834,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,3.868,B,3.868,1.451,,no_data,no_data,,3.88,B,,,3.6,,B,False
forming-family-condo-balanced,YISHUN,condo,False,,3.829,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,4.051,B+,4.051,0.349,,no_data,no_data,,2.5,D,,,3.94,,B,False
forming-family-condo-balanced,CANBERRA,condo,False,,3.776,0.909,employment_below:D,,YoungFam,T5,forming_family,3.724,B,3.724,1.228,4.488189110884221,B+,proxy_from:SEMBAWANG,2974.0,2.45,F,,,3.61,,B,False
forming-family-condo-balanced,CENTRAL AREA,condo,False,,3.67,0.318,excluded_archetype:X;liveability_below:C;employment_below:D,,YoungFam,T5,forming_family,,N/R,,,3.4538687910091883,C,direct,3986.0,,N/R,,,4.21,,X,False
forming-family-condo-balanced,SENGKANG,condo,False,,3.669,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,3.783,B,3.783,1.099,,no_data,no_data,,3.05,C,,,3.66,,B,False
forming-family-condo-balanced,KALLANG,condo,False,,3.587,0.909,value_below:C,,YoungFam,T5,forming_family,3.846,B,3.846,0.082,2.8342718348343756,D,direct,996.0,3.92,B,,,3.71,,B,False
forming-family-condo-balanced,WOODLANDS,condo,False,,3.483,0.909,employment_below:D,,YoungFam,T5,forming_family,3.466,C,3.466,1.193,3.953176399492724,B,direct,929.0,2.45,F,,,3.43,,A,False
forming-family-condo-balanced,DOVER,condo,False,,3.459,0.909,value_below:C,,YoungFam,T5,forming_family,3.534,B,3.534,0.441,2.8974997467431405,D,proxy_from:QUEENSTOWN,5700.0,4.4,B+,,,3.51,,F,False
forming-family-condo-balanced,LENTOR,condo,False,,3.367,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,3.375,C,3.375,0.869,,N/A,no_hdb_segment,0.0,3.3,C,,,3.39,,F,False
forming-family-condo-balanced,PUNGGOL,condo,False,,3.27,0.682,value_below:C;employment_below:D;value_n_below:100,,YoungFam,T5,forming_family,3.383,C,3.383,0.624,,no_data,no_data,,2.45,F,,,3.47,,E,False
forming-family-condo-balanced,MARINE PARADE,condo,False,,3.155,0.909,value_below:C,,YoungFam,T5,forming_family,3.177,C,3.177,0.457,2.869022554718461,D,direct,10432.0,3.83,B,,,3.07,,D,False
forming-family-condo-balanced,TENGAH,condo,False,,2.747,0.909,liveability_below:C;value_below:C;employment_below:D,,YoungFam,T5,forming_family,2.933,D,2.933,1.271,2.733484306740574,D,direct,863.0,2.0,F,,,2.5,,G,False
landed-family-amenity-upside,BEDOK,landed,True,1,4.051,0.909,,,Lifestyle,T5,upgrader,3.923,B,3.923,0.483,4.3218898482089365,B+,direct,855.0,3.83,B,,,4.1,,B,False
