project_name,postal_district,planning_area,property_type,tenure,sale_date,sale_month,type_of_sale,price,area_sqft,area_sqm,unit_price_psf,floor_level,unit_floor,address,bedrooms,sources,match_method
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-13,2025-08,New Sale,1562400,797.0,74.0,1960,01 to 05,4,53 Canberra Crescent #04-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-13,2025-08,New Sale,1575000,797.0,74.0,1976,11 to 15,12,53 Canberra Crescent #12-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-14,2025-08,New Sale,1095000,570.0,53.0,1921,01 to 05,4,51 Canberra Crescent #04-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-14,2025-08,New Sale,1095100,570.0,53.0,1921,01 to 05,2,53 Canberra Crescent #02-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-14,2025-08,New Sale,1336100,667.0,62.0,2003,06 to 10,7,51 Canberra Crescent #07-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1323700,667.0,62.0,1985,01 to 05,3,55 Canberra Crescent #03-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1343100,667.0,62.0,2014,06 to 10,9,51 Canberra Crescent #09-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1523000,797.0,74.0,1911,06 to 10,8,51 Canberra Crescent #08-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1558500,797.0,74.0,1955,01 to 05,3,53 Canberra Crescent #03-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1571100,797.0,74.0,1971,11 to 15,11,53 Canberra Crescent #11-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1614300,797.0,74.0,2025,11 to 15,12,57 Canberra Crescent #12-XX,3,both,group+floor
