project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
THE BAYCOURT,UPPER EAST COAST ROAD,16,BEDOK,1.31578148106134,103.9414245160246,matched,105,THE BAYCOURT UPPER EAST COAST ROAD,THE BAYCOURT,UPPER EAST COAST ROAD,461A UPPER EAST COAST ROAD THE BAYCOURT SINGAPORE 466507,466507,"project,street"
THE BAYSHORE,BAYSHORE ROAD,16,BEDOK,1.312420022909939,103.9386285393263,matched,105,THE BAYSHORE BAYSHORE ROAD,THE BAYSHORE,BAYSHORE ROAD,22 BAYSHORE ROAD THE BAYSHORE SINGAPORE 469970,469970,"project,street"
THE CALYPSO,UPPER EAST COAST ROAD,16,BEDOK,1.315243052778003,103.9433560917833,matched,105,THE CALYPSO UPPER EAST COAST ROAD,THE CALYPSO,UPPER EAST COAST ROAD,498 UPPER EAST COAST ROAD THE CALYPSO SINGAPORE 466526,466526,"project,street"
THE CLEARWATER,BEDOK RESERVOIR VIEW,16,BEDOK,1.337039138618718,103.9343857767061,matched,105,THE CLEARWATER BEDOK RESERVOIR VIEW,THE CLEARWATER,BEDOK RESERVOIR VIEW,10 BEDOK RESERVOIR VIEW THE CLEARWATER SINGAPORE 479236,479236,"project,street"
THE DAFFODIL,UPPER EAST COAST ROAD,16,BEDOK,1.316021645562444,103.9456755893094,matched,105,THE DAFFODIL UPPER EAST COAST ROAD,THE DAFFODIL,UPPER EAST COAST ROAD,568 UPPER EAST COAST ROAD THE DAFFODIL SINGAPORE 466584,466584,"project,street"
THE GLADES,BEDOK RISE,16,BEDOK,1.327133135602775,103.9489310098765,matched,105,THE GLADES BEDOK RISE,THE GLADES,BEDOK RISE,2 BEDOK RISE THE GLADES SINGAPORE 469597,469597,"project,street"
THE SUMMIT,UPPER EAST COAST ROAD,16,BEDOK,1.316345054226359,103.9406711649322,matched,105,THE SUMMIT UPPER EAST COAST ROAD,THE SUMMIT,UPPER EAST COAST ROAD,455 UPPER EAST COAST ROAD THE SUMMIT SINGAPORE 466502,466502,"project,street"
THE TAIPAN,JALAN HAJIJAH,16,BEDOK,1.312307520391956,103.9349278679715,matched,105,THE TAIPAN JALAN HAJIJAH,THE TAIPAN,JALAN HAJIJAH,25 JALAN HAJIJAH THE TAIPAN SINGAPORE 468721,468721,"project,street"
THE TANAMERA,TANAH MERAH KECHIL ROAD,16,BEDOK,1.326453606664493,103.942524576662,matched,105,THE TANAMERA TANAH MERAH KECHIL ROAD,THE TANAMERA,TANAH MERAH KECHIL ROAD,3 TANAH MERAH KECHIL ROAD THE TANAMERA SINGAPORE 466664,466664,"project,street"
THE TROPIC GARDENS,UPPER EAST COAST ROAD,16,BEDOK,1.313849570328185,103.9380984377328,matched,105,THE TROPIC GARDENS UPPER EAST COAST ROAD,THE TROPIC GARDENS,UPPER EAST COAST ROAD,332 UPPER EAST COAST ROAD THE TROPIC GARDENS SINGAPORE 466456,466456,"project,street"
TROPICANA CONDOMINIUM,JALAN TIGA RATUS,16,BEDOK,1.34164555266097,103.9608404386985,matched,105,TROPICANA CONDOMINIUM JALAN TIGA RATUS,TROPICANA CONDOMINIUM,JALAN TIGA RATUS,2 JALAN TIGA RATUS TROPICANA CONDOMINIUM SINGAPORE 488067,488067,"project,street"
UBER 388,UPPER EAST COAST ROAD,16,BEDOK,1.313655691164048,103.9390907154866,matched,105,UBER 388 UPPER EAST COAST ROAD,UBER 388,UPPER EAST COAST ROAD,388 UPPER EAST COAST ROAD UBER 388 SINGAPORE 466477,466477,"project,street"
URBAN VISTA,TANAH MERAH KECHIL LINK,16,BEDOK,1.327164780079988,103.9446875696731,matched,105,URBAN VISTA TANAH MERAH KECHIL LINK,URBAN VISTA,TANAH MERAH KECHIL LINK,10 TANAH MERAH KECHIL LINK URBAN VISTA SINGAPORE 465421,465421,"project,street"
VELA BAY,BAYSHORE WALK,16,BEDOK,1.312077264293276,103.9415878882992,matched,105,VELA BAY BAYSHORE WALK,VELA BAY (U/C),BAYSHORE WALK,3 BAYSHORE WALK VELA BAY (U/C) SINGAPORE 469876,469876,"project,street"
VENEZIO,UPPER EAST COAST ROAD,16,BEDOK,1.314812313585212,103.9425903823433,matched,105,VENEZIO UPPER EAST COAST ROAD,VENEZIO,UPPER EAST COAST ROAD,488 UPPER EAST COAST ROAD VENEZIO SINGAPORE 466520,466520,"project,street"
VILLAS LAGUNA,UPPER EAST COAST ROAD,16,BEDOK,1.314209973742511,103.9386139206477,matched,105,VILLAS LAGUNA UPPER EAST COAST ROAD,VILLAS LAGUNA,UPPER EAST COAST ROAD,366 UPPER EAST COAST ROAD VILLAS LAGUNA SINGAPORE 466472,466472,"project,street"
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,16,BEDOK,1.33787070972748,103.9285147069635,matched,105,WATERFRONT GOLD BEDOK RESERVOIR ROAD,WATERFRONT GOLD,BEDOK RESERVOIR ROAD,758 BEDOK RESERVOIR ROAD WATERFRONT GOLD SINGAPORE 479260,479260,"project,street"
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,BEDOK,1.338724437413592,103.9275779340432,matched,105,WATERFRONT ISLE BEDOK RESERVOIR ROAD,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,730 BEDOK RESERVOIR ROAD WATERFRONT ISLE SINGAPORE 479261,479261,"project,street"
WATERFRONT KEY,BEDOK RESERVOIR ROAD,16,BEDOK,1.337509316769132,103.9313904042401,matched,105,WATERFRONT KEY BEDOK RESERVOIR ROAD,WATERFRONT KEY,BEDOK RESERVOIR ROAD,772 BEDOK RESERVOIR ROAD WATERFRONT KEY SINGAPORE 479251,479251,"project,street"
WATERFRONT WAVES,BEDOK RESERVOIR ROAD,16,BEDOK,1.338226767195741,103.9299095222429,matched,105,WATERFRONT WAVES BEDOK RESERVOIR ROAD,WATERFRONT WAVES,BEDOK RESERVOIR ROAD,760 BEDOK RESERVOIR ROAD WATERFRONT WAVES SINGAPORE 479245,479245,"project,street"
AVILA GARDENS,FLORA ROAD,17,CHANGI,1.360157643342418,103.9651652241909,matched,105,AVILA GARDENS FLORA ROAD,AVILA GARDENS,FLORA ROAD,9 FLORA ROAD AVILA GARDENS SINGAPORE 509737,509737,"project,street"
AZALEA PARK CONDOMINIUM,FLORA ROAD,17,CHANGI,1.360248589091811,103.9632966188702,matched,105,AZALEA PARK CONDOMINIUM FLORA ROAD,AZALEA PARK CONDOMINIUM,FLORA ROAD,14 FLORA ROAD AZALEA PARK CONDOMINIUM SINGAPORE 509731,509731,"project,street"
BALLOTA PARK CONDOMINIUM,MARIAM WAY,17,CHANGI,1.358877991203415,103.9685244387701,matched,105,BALLOTA PARK CONDOMINIUM MARIAM WAY,BALLOTA PARK CONDOMINIUM,MARIAM WAY,150 MARIAM WAY BALLOTA PARK CONDOMINIUM SINGAPORE 507079,507079,"project,street"
BLUWATERS,JALAN LOYANG BESAR,17,CHANGI,1.379760599917817,103.9630778525916,matched,105,BLUWATERS JALAN LOYANG BESAR,BLUWATERS,JALAN LOYANG BESAR,195 JALAN LOYANG BESAR BLUWATERS SINGAPORE 509439,509439,"project,street"
BLUWATERS 2,JALAN LOYANG BESAR,17,CHANGI,1.380050795803156,103.9639001447296,matched,105,BLUWATERS 2 JALAN LOYANG BESAR,BLUWATERS 2,JALAN LOYANG BESAR,205 JALAN LOYANG BESAR BLUWATERS 2 SINGAPORE 509456,509456,"project,street"
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,CHANGI,1.35917121402077,103.9636315161682,matched,105,CARISSA PARK CONDOMINIUM FLORA DRIVE,CARISSA PARK CONDOMINIUM,FLORA DRIVE,2 FLORA DRIVE CARISSA PARK CONDOMINIUM SINGAPORE 507025,507025,"project,street"
CASA AL MARE,JALAN LOYANG BESAR,17,CHANGI,1.37785629605718,103.9570896199723,matched,105,CASA AL MARE JALAN LOYANG BESAR,CASA AL MARE,JALAN LOYANG BESAR,75 JALAN LOYANG BESAR CASA AL MARE SINGAPORE 506930,506930,"project,street"
CASA PASIR RIS,JALAN LOYANG BESAR,17,CHANGI,1.379391951879978,103.9636877453096,matched,105,CASA PASIR RIS JALAN LOYANG BESAR,CASA PASIR RIS,JALAN LOYANG BESAR,201 JALAN LOYANG BESAR CASA PASIR RIS SINGAPORE 509506,509506,"project,street"
CELADON VIEW,JALAN LOYANG BESAR,17,CHANGI,1.378349857063732,103.9565913518801,matched,105,CELADON VIEW JALAN LOYANG BESAR,CELADON VIEW,JALAN LOYANG BESAR,45 JALAN LOYANG BESAR CELADON VIEW SINGAPORE 507029,507029,"project,street"
COASTAL BREEZE RESIDENCES,LOYANG BESAR CLOSE,17,CHANGI,1.378509038212229,103.9572281978335,matched,105,COASTAL BREEZE RESIDENCES LOYANG BESAR CLOSE,COASTAL BREEZE RESIDENCES,LOYANG BESAR CLOSE,12 LOYANG BESAR CLOSE COASTAL BREEZE RESIDENCES SINGAPORE 509051,509051,"project,street"
COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,17,CHANGI,1.379054821846396,103.9610977449728,matched,105,COASTAL VIEW RESIDENCES JALAN LOYANG BESAR,COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,177 JALAN LOYANG BESAR COASTAL VIEW RESIDENCES SINGAPORE 509432,509432,"project,street"
DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,CHANGI,1.359274373819099,103.965984765475,matched,105,DAHLIA PARK CONDOMINIUM FLORA DRIVE,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,3 FLORA DRIVE DAHLIA PARK CONDOMINIUM SINGAPORE 507010,507010,"project,street"
EDELWEISS PARK CONDOMINIUM,FLORA ROAD,17,CHANGI,1.356595751043729,103.9681814051647,matched,105,EDELWEISS PARK CONDOMINIUM FLORA ROAD,EDELWEISS PARK CONDOMINIUM,FLORA ROAD,104 FLORA ROAD EDELWEISS PARK CONDOMINIUM SINGAPORE 509745,509745,"project,street"
ESTELLA GARDENS,FLORA ROAD,17,CHANGI,1.360408373168166,103.9670887678741,matched,105,ESTELLA GARDENS FLORA ROAD,ESTELLA GARDENS,FLORA ROAD,23 FLORA ROAD ESTELLA GARDENS SINGAPORE 509739,509739,"project,street"
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,CHANGI,1.358342341091827,103.9644000165714,matched,105,FERRARIA PARK CONDOMINIUM FLORA DRIVE,FERRARIA PARK CONDOMINIUM,FLORA DRIVE,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951,506951,"project,street"
HEDGES PARK CONDOMINIUM,FLORA DRIVE,17,CHANGI,1.355385592928344,103.9669934995515,matched,105,HEDGES PARK CONDOMINIUM FLORA DRIVE,HEDGES PARK CONDOMINIUM,FLORA DRIVE,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883,506883,"project,street"
JLB RESIDENCES,JALAN LOYANG BESAR,17,CHANGI,1.379089886983162,103.9605584756783,matched,105,JLB RESIDENCES JALAN LOYANG BESAR,JLB RESIDENCES,JALAN LOYANG BESAR,169 JALAN LOYANG BESAR JLB RESIDENCES SINGAPORE 509422,509422,"project,street"
KASSIA,FLORA DRIVE,17,CHANGI,1.357096306242575,103.9655019003751,matched,105,KASSIA FLORA DRIVE,KASSIA (U/C),FLORA DRIVE,33 FLORA DRIVE KASSIA (U/C) SINGAPORE 509905,509905,"project,street"
LE LOYANG,JALAN LOYANG BESAR,17,CHANGI,1.3783509761617,103.9562951132659,matched,105,LE LOYANG JALAN LOYANG BESAR,LE LOYANG,JALAN LOYANG BESAR,43 JALAN LOYANG BESAR LE LOYANG SINGAPORE 509371,509371,"project,street"
LIGHTHOUSE,JALAN LOYANG BESAR,17,CHANGI,1.378527642121996,103.9592614261611,matched,105,LIGHTHOUSE JALAN LOYANG BESAR,LIGHTHOUSE,JALAN LOYANG BESAR,161B JALAN LOYANG BESAR LIGHTHOUSE SINGAPORE 509410,509410,"project,street"
LOYANG GARDENS,JALAN LOYANG BESAR,17,CHANGI,1.378072604373142,103.9567917611716,matched,105,LOYANG GARDENS JALAN LOYANG BESAR,LOYANG GARDENS,JALAN LOYANG BESAR,55 JALAN LOYANG BESAR LOYANG GARDENS SINGAPORE 509376,509376,"project,street"
LOYANG TOWNHOUSES,JALAN LOYANG BESAR,17,CHANGI,1.379603959277768,103.964258051405,matched,105,LOYANG TOWNHOUSES JALAN LOYANG BESAR,LOYANG TOWNHOUSES,JALAN LOYANG BESAR,207B JALAN LOYANG BESAR LOYANG TOWNHOUSES SINGAPORE 509470,509470,"project,street"
LOYANG VALLEY,LOYANG AVENUE,17,CHANGI,1.366919436003066,103.97068941997,matched,105,LOYANG VALLEY LOYANG AVENUE,LOYANG VALLEY,LOYANG AVENUE,212 LOYANG AVENUE LOYANG VALLEY SINGAPORE 509064,509064,"project,street"
OCEAN FRONT SUITES,JALAN LOYANG BESAR,17,CHANGI,1.377454081500818,103.9566258893301,low_confidence,35,JALAN LOYANG BESAR,NIL,JALAN LOYANG BESAR,JALAN LOYANG BESAR,NIL,street
PALM ISLES,FLORA DRIVE,17,CHANGI,1.356888655059818,103.9641941471915,matched,105,PALM ISLES FLORA DRIVE,PALM ISLES,FLORA DRIVE,32 FLORA DRIVE PALM ISLES SINGAPORE 506892,506892,"project,street"
PARC KOMO,UPPER CHANGI ROAD NORTH,17,CHANGI,1.361032585410678,103.970309696542,matched,105,PARC KOMO UPPER CHANGI ROAD NORTH,PARC KOMO,UPPER CHANGI ROAD NORTH,961 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507663,507663,"project,street"
PARC OLYMPIA,FLORA DRIVE,17,CHANGI,1.355772573554162,103.9649166733974,matched,105,PARC OLYMPIA FLORA DRIVE,PARC OLYMPIA,FLORA DRIVE,64 FLORA DRIVE PARC OLYMPIA SINGAPORE 506860,506860,"project,street"
RIZ HAVEN,JALAN LOYANG BESAR,17,CHANGI,1.379894649228157,103.9627439766456,matched,105,RIZ HAVEN JALAN LOYANG BESAR,RIZ HAVEN,JALAN LOYANG BESAR,193A JALAN LOYANG BESAR RIZ HAVEN SINGAPORE 506929,506929,"project,street"
SANDY PALM,JALAN LOYANG BESAR,17,CHANGI,1.3788985391818,103.959628801553,matched,105,SANDY PALM JALAN LOYANG BESAR,SANDY PALM,JALAN LOYANG BESAR,163 JALAN LOYANG BESAR SANDY PALM SINGAPORE 509413,509413,"project,street"
THE EDGEWATER,JALAN LOYANG BESAR,17,CHANGI,1.380290809095873,103.9646745963418,matched,105,THE EDGEWATER JALAN LOYANG BESAR,THE EDGEWATER,JALAN LOYANG BESAR,211 JALAN LOYANG BESAR THE EDGEWATER SINGAPORE 509504,509504,"project,street"
THE GALE,FLORA ROAD,17,CHANGI,1.359003078411791,103.9668693205401,matched,105,THE GALE FLORA ROAD,THE GALE,FLORA ROAD,64 FLORA ROAD THE GALE SINGAPORE 506911,506911,"project,street"
THE INFLORA,FLORA DRIVE,17,CHANGI,1.356269562723168,103.9662607555848,matched,105,THE INFLORA FLORA DRIVE,THE INFLORA,FLORA DRIVE,57 FLORA DRIVE THE INFLORA SINGAPORE 506865,506865,"project,street"
THE JOVELL,FLORA DRIVE,17,CHANGI,1.358007362264855,103.9668345156371,matched,105,THE JOVELL FLORA DRIVE,THE JOVELL,FLORA DRIVE,21 FLORA DRIVE THE JOVELL SINGAPORE 506761,506761,"project,street"
THE SHOREFRONT,JALAN LOYANG BESAR,17,CHANGI,1.379174573217509,103.9600776921926,matched,105,THE SHOREFRONT JALAN LOYANG BESAR,THE SHOREFRONT (U/C),JALAN LOYANG BESAR,165B JALAN LOYANG BESAR THE SHOREFRONT (U/C) SINGAPORE 509837,509837,"project,street"
WATERCREST,LOYANG BESAR CLOSE,17,CHANGI,1.377857771948442,103.9582481157368,matched,105,WATERCREST LOYANG BESAR CLOSE,WATERCREST,LOYANG BESAR CLOSE,153 LOYANG BESAR CLOSE WATERCREST SINGAPORE 509042,509042,"project,street"
CHANGI RISE CONDOMINIUM,SIMEI RISE,18,TAMPINES,1.348587662254457,103.9594379798418,matched,105,CHANGI RISE CONDOMINIUM SIMEI RISE,CHANGI RISE CONDOMINIUM,SIMEI RISE,12 SIMEI RISE CHANGI RISE CONDOMINIUM SINGAPORE 528805,528805,"project,street"
COCO PALMS,PASIR RIS GROVE,18,TAMPINES,1.372347304485927,103.9456058907747,matched,105,COCO PALMS PASIR RIS GROVE,COCO PALMS,PASIR RIS GROVE,27 PASIR RIS GROVE COCO PALMS SINGAPORE 518073,518073,"project,street"
D'NEST,PASIR RIS GROVE,18,TAMPINES,1.368573699078689,103.9455711419692,matched,105,D'NEST PASIR RIS GROVE,D'NEST,PASIR RIS GROVE,139 PASIR RIS GROVE D'NEST SINGAPORE 518134,518134,"project,street"
DOUBLE BAY RESIDENCES,SIMEI STREET 4,18,TAMPINES,1.340706375203374,103.9562397716195,matched,105,DOUBLE BAY RESIDENCES SIMEI STREET 4,DOUBLE BAY RESIDENCES,SIMEI STREET 4,19A SIMEI STREET 4 DOUBLE BAY RESIDENCES SINGAPORE 529886,529886,"project,street"
EASTPOINT GREEN,SIMEI STREET 3,18,TAMPINES,1.339545204182573,103.9510221117053,matched,105,EASTPOINT GREEN SIMEI STREET 3,EASTPOINT GREEN,SIMEI STREET 3,1 SIMEI STREET 3 EASTPOINT GREEN SINGAPORE 529890,529890,"project,street"
ELIAS GREEN,ELIAS GREEN,18,TAMPINES,1.369733390585401,103.9432956316843,matched,105,ELIAS GREEN ELIAS GREEN,ELIAS GREEN,ELIAS GREEN,7 ELIAS GREEN ELIAS GREEN SINGAPORE 519962,519962,"project,street"
LIVIA,PASIR RIS GROVE,18,TAMPINES,1.373057033665282,103.9424590943861,matched,105,LIVIA PASIR RIS GROVE,LIVIA,PASIR RIS GROVE,71 PASIR RIS GROVE LIVIA SINGAPORE 518205,518205,"project,street"
MELVILLE PARK,SIMEI STREET 1,18,TAMPINES,1.346731180355844,103.9586074576536,matched,105,MELVILLE PARK SIMEI STREET 1,MELVILLE PARK,SIMEI STREET 1,28 SIMEI STREET 1 MELVILLE PARK SINGAPORE 529948,529948,"project,street"
MODENA,SIMEI STREET 4,18,TAMPINES,1.342742266498063,103.9548924422147,matched,105,MODENA SIMEI STREET 4,MODENA,SIMEI STREET 4,35 SIMEI STREET 4 MODENA SINGAPORE 529869,529869,"project,street"
MY MANHATTAN,SIMEI STREET 3,18,TAMPINES,1.341303420769851,103.9533477302051,matched,105,MY MANHATTAN SIMEI STREET 3,MY MANHATTAN,SIMEI STREET 3,25 SIMEI STREET 3 MY MANHATTAN SINGAPORE 529899,529899,"project,street"
NV RESIDENCES,PASIR RIS GROVE,18,TAMPINES,1.371787555046687,103.9434339978037,matched,105,NV RESIDENCES PASIR RIS GROVE,NV RESIDENCES,PASIR RIS GROVE,89 PASIR RIS GROVE NV RESIDENCES SINGAPORE 518214,518214,"project,street"
OASIS @ ELIAS,ELIAS ROAD,18,TAMPINES,1.377124934262843,103.9423673691037,matched,105,OASIS @ ELIAS ELIAS ROAD,OASIS @ ELIAS,ELIAS ROAD,66 ELIAS ROAD OASIS @ ELIAS SINGAPORE 519941,519941,"project,street"
PARKTOWN RESIDENCE,TAMPINES STREET 62,18,TAMPINES,1.366848422810875,103.9377763572148,matched,105,PARKTOWN RESIDENCE TAMPINES STREET 62,PARKTOWN RESIDENCE (U/C),TAMPINES STREET 62,3 TAMPINES STREET 62 PARKTOWN RESIDENCE (U/C) SINGAPORE 529412,529412,"project,street"
PASIR RIS 8,PASIR RIS DRIVE 8,18,TAMPINES,1.373739209856984,103.9482573365331,matched,105,PASIR RIS 8,PASIR RIS 8,PASIR RIS DRIVE 8,12 PASIR RIS DRIVE 8 PASIR RIS 8 SINGAPORE 519469,519469,"project,street"
Q BAY RESIDENCES,TAMPINES STREET 86,18,TAMPINES,1.350210130287625,103.9272745736649,matched,105,Q BAY RESIDENCES TAMPINES STREET 86,Q BAY RESIDENCES,TAMPINES STREET 86,1 TAMPINES STREET 86 Q BAY RESIDENCES SINGAPORE 528583,528583,"project,street"
RESIDENTIAL APARTMENTS,TAMPINES AVENUE,18,TAMPINES,1.360575654314086,103.947725887411,low_confidence,35,TAMPINES AVENUE,ESSO TAMPINES AVENUE 9,TAMPINES AVENUE 9,40 TAMPINES AVENUE 9 ESSO TAMPINES AVENUE 9 SINGAPORE 529568,529568,street
RIPPLE BAY,PASIR RIS LINK,18,TAMPINES,1.378617446019698,103.9616653767471,matched,105,RIPPLE BAY PASIR RIS LINK,RIPPLE BAY,PASIR RIS LINK,16 PASIR RIS LINK RIPPLE BAY SINGAPORE 518166,518166,"project,street"
RIS GRANDEUR,ELIAS ROAD,18,TAMPINES,1.374057281521561,103.9392598748583,matched,105,RIS GRANDEUR ELIAS ROAD,RIS GRANDEUR,ELIAS ROAD,25 ELIAS ROAD RIS GRANDEUR SINGAPORE 519931,519931,"project,street"
SAVANNAH CONDOPARK,SIMEI RISE,18,TAMPINES,1.349015718297354,103.9626890643747,matched,105,SAVANNAH CONDOPARK SIMEI RISE,SAVANNAH CONDOPARK,SIMEI RISE,43 SIMEI RISE SAVANNAH CONDOPARK SINGAPORE 528785,528785,"project,street"
SEA ESTA,PASIR RIS LINK,18,TAMPINES,1.377427792656165,103.9598772258771,matched,105,SEA ESTA PASIR RIS LINK,SEA ESTA,PASIR RIS LINK,18 PASIR RIS LINK SEA ESTA SINGAPORE 518156,518156,"project,street"
SEASTRAND,PASIR RIS LINK,18,TAMPINES,1.376081463429707,103.9610378558924,matched,105,SEASTRAND PASIR RIS LINK,SEASTRAND,PASIR RIS LINK,7 PASIR RIS LINK SEASTRAND SINGAPORE 518188,518188,"project,street"
STRATUM,ELIAS ROAD,18,TAMPINES,1.378775930120852,103.9433802854853,matched,105,STRATUM ELIAS ROAD,STRATUM,ELIAS ROAD,80 ELIAS ROAD STRATUM SINGAPORE 519945,519945,"project,street"
THE ALPS RESIDENCES,TAMPINES STREET 86,18,TAMPINES,1.3548785782331,103.9292318716835,matched,105,THE ALPS RESIDENCES TAMPINES STREET 86,THE ALPS RESIDENCES,TAMPINES STREET 86,107 TAMPINES STREET 86 THE ALPS RESIDENCES SINGAPORE 528533,528533,"project,street"
THE PALETTE,PASIR RIS GROVE,18,TAMPINES,1.369721553508259,103.9449739635345,matched,105,THE PALETTE PASIR RIS GROVE,THE PALETTE,PASIR RIS GROVE,115 PASIR RIS GROVE THE PALETTE SINGAPORE 518172,518172,"project,street"
THE SANTORINI,TAMPINES STREET 86,18,TAMPINES,1.351907786512837,103.9276239614647,matched,105,THE SANTORINI TAMPINES STREET 86,THE SANTORINI,TAMPINES STREET 86,25 TAMPINES STREET 86 THE SANTORINI SINGAPORE 528569,528569,"project,street"
THE TAPESTRY,TAMPINES STREET 86,18,TAMPINES,1.353055962832459,103.9282134713296,matched,105,THE TAPESTRY TAMPINES STREET 86,THE TAPESTRY,TAMPINES STREET 86,53 TAMPINES STREET 86 THE TAPESTRY SINGAPORE 528540,528540,"project,street"
THE TROPICA,TAMPINES AVENUE 1,18,TAMPINES,1.348252184730149,103.9270520779333,matched,105,THE TROPICA TAMPINES AVENUE 1,THE TROPICA,TAMPINES AVENUE 1,63 TAMPINES AVENUE 1 THE TROPICA SINGAPORE 529777,529777,"project,street"
TREASURE AT TAMPINES,TAMPINES LANE,18,TAMPINES,1.345085614536491,103.9479509543739,matched,105,TREASURE AT TAMPINES TAMPINES LANE,TREASURE AT TAMPINES,TAMPINES LANE,7 TAMPINES LANE TREASURE AT TAMPINES SINGAPORE 528487,528487,"project,street"
TROPICAL SPRING,SIMEI STREET 4,18,TAMPINES,1.34145315588588,103.9556769365981,matched,105,TROPICAL SPRING SIMEI STREET 4,TROPICAL SPRING,SIMEI STREET 4,23 SIMEI STREET 4 TROPICAL SPRING SINGAPORE 529880,529880,"project,street"
VUE 8 RESIDENCE,PASIR RIS HEIGHTS,18,TAMPINES,1.381738823132056,103.9402275110648,matched,105,VUE 8 RESIDENCE PASIR RIS HEIGHTS,VUE 8 RESIDENCE,PASIR RIS HEIGHTS,93 PASIR RIS HEIGHTS VUE 8 RESIDENCE SINGAPORE 519288,519288,"project,street"
WATERVIEW,TAMPINES AVENUE 1,18,TAMPINES,1.34859310445471,103.9255895022794,matched,105,WATERVIEW TAMPINES AVENUE 1,WATERVIEW,TAMPINES AVENUE 1,81 TAMPINES AVENUE 1 WATERVIEW SINGAPORE 528685,528685,"project,street"
21 RICHARDS,RICHARDS AVENUE,19,SERANGOON,1.361880873782779,103.8813983488668,matched,105,21 RICHARDS RICHARDS AVENUE,21 RICHARDS,RICHARDS AVENUE,21 RICHARDS AVENUE 21 RICHARDS SINGAPORE 546430,546430,"project,street"
3@PHILLIPS,PHILLIPS AVENUE,19,SERANGOON,1.363375393299385,103.8745311233204,matched,105,3@PHILLIPS PHILLIPS AVENUE,3@PHILLIPS,PHILLIPS AVENUE,3 PHILLIPS AVENUE 3@PHILLIPS SINGAPORE 546920,546920,"project,street"
3@SANDILANDS,SANDILANDS ROAD,19,SERANGOON,1.361599130098456,103.8779672931136,matched,105,3@SANDILANDS SANDILANDS ROAD,3@ SANDILANDS,SANDILANDS ROAD,3 SANDILANDS ROAD 3@ SANDILANDS SINGAPORE 546066,546066,"project,street"
57 @ KOVAN,KOVAN ROAD,19,SERANGOON,1.357342857239746,103.8805188885172,matched,105,57 @ KOVAN KOVAN ROAD,57 @ KOVAN,KOVAN ROAD,57 KOVAN ROAD 57 @ KOVAN SINGAPORE 548147,548147,"project,street"
8 EDEN GROVE,EDEN GROVE,19,SERANGOON,1.344773006460214,103.8723188679188,matched,105,8 EDEN GROVE EDEN GROVE,NIL,EDEN GROVE,8 EDEN GROVE SINGAPORE 539060,539060,"project,street"
A TREASURE TROVE,PUNGGOL WALK,19,SERANGOON,1.405491330246649,103.8998306639428,matched,105,A TREASURE TROVE PUNGGOL WALK,A TREASURE TROVE,PUNGGOL WALK,60 PUNGGOL WALK A TREASURE TROVE SINGAPORE 828780,828780,"project,street"
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,SERANGOON,1.366187029763068,103.873674807486,matched,105,AFFINITY AT SERANGOON SERANGOON NORTH AVENUE 1,AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,26 SERANGOON NORTH AVENUE 1 AFFINITY AT SERANGOON SINGAPORE 554340,554340,"project,street"
AFFLUENCE COURT,AH SOO GARDEN,19,SERANGOON,1.350149929732728,103.8830623396093,matched,105,AFFLUENCE COURT AH SOO GARDEN,AFFLUENCE COURT,AH SOO GARDEN,8 AH SOO GARDEN AFFLUENCE COURT SINGAPORE 539960,539960,"project,street"
AMARANDA GARDENS,SERANGOON AVENUE 3,19,SERANGOON,1.349555515501913,103.8667054008339,matched,105,AMARANDA GARDENS SERANGOON AVENUE 3,AMARANDA GARDENS,SERANGOON AVENUE 3,120 SERANGOON AVENUE 3 AMARANDA GARDENS SINGAPORE 554774,554774,"project,street"
BARTLEY RESIDENCES,LORONG HOW SUN,19,SERANGOON,1.343132920406186,103.8817743255282,matched,105,BARTLEY RESIDENCES LORONG HOW SUN,BARTLEY RESIDENCES,LORONG HOW SUN,3 LORONG HOW SUN BARTLEY RESIDENCES SINGAPORE 536560,536560,"project,street"
BARTLEY VUE,JALAN BUNGA RAMPAI,19,SERANGOON,1.340361858967607,103.8838464441384,matched,105,BARTLEY VUE JALAN BUNGA RAMPAI,BARTLEY VUE (U/C),JALAN BUNGA RAMPAI,6 JALAN BUNGA RAMPAI BARTLEY VUE (U/C) SINGAPORE 538310,538310,"project,street"
