project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
HARVEST MANSIONS,HAVELOCK ROAD,03,QUEENSTOWN,1.289830341981021,103.8318434169088,matched,105,HARVEST MANSIONS HAVELOCK ROAD,HARVEST MANSIONS,HAVELOCK ROAD,550 HAVELOCK ROAD HARVEST MANSIONS SINGAPORE 169638,169638,"project,street"
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,QUEENSTOWN,1.2841657773154,103.8298167109575,matched,105,HIGHLINE RESIDENCES KIM TIAN ROAD,HIGHLINE RESIDENCES,KIM TIAN ROAD,11 KIM TIAN ROAD HIGHLINE RESIDENCES SINGAPORE 168594,168594,"project,street"
KAI FOOK MANSION,KIM TIAN ROAD,03,QUEENSTOWN,1.284751150834718,103.8293298566824,matched,105,KAI FOOK MANSION KIM TIAN ROAD,KAI FOOK MANSION,KIM TIAN ROAD,20D KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169253,169253,"project,street"
MARGARET VILLE,MARGARET DRIVE,03,QUEENSTOWN,1.299517208084196,103.8028069302233,matched,105,MARGARET VILLE MARGARET DRIVE,MARGARET VILLE,MARGARET DRIVE,20 MARGARET DRIVE MARGARET VILLE SINGAPORE 149312,149312,"project,street"
MERAPRIME,JALAN BUKIT HO SWEE,03,QUEENSTOWN,1.287058597675512,103.8277875319796,matched,105,MERAPRIME JALAN BUKIT HO SWEE,MERAPRIME,JALAN BUKIT HO SWEE,301 JALAN BUKIT HO SWEE MERAPRIME SINGAPORE 169568,169568,"project,street"
ONE PEARL BANK,PEARL BANK,03,QUEENSTOWN,1.282961486595894,103.839814598308,matched,105,ONE PEARL BANK PEARL BANK,ONE PEARL BANK,PEARL BANK,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,169016,"project,street"
PENRITH,MARGARET DRIVE,03,QUEENSTOWN,1.295758493167474,103.8086952164829,matched,105,PENRITH MARGARET DRIVE,PENRITH (U/C),MARGARET DRIVE,72 MARGARET DRIVE PENRITH (U/C) SINGAPORE 149927,149927,"project,street"
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,QUEENSTOWN,1.292375067481787,103.822836693912,matched,105,PRINCIPAL GARDEN PRINCE CHARLES CRESCENT,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,159029,"project,street"
PROMENADE PEAK,ZION PROMENADE,03,QUEENSTOWN,1.291570080487509,103.8331424808251,matched,105,PROMENADE PEAK ZION PROMENADE,PROMENADE PEAK (U/C),ZION PROMENADE,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,169564,"project,street"
QUEENS,STIRLING ROAD,03,QUEENSTOWN,1.292996046816058,103.8056655631731,matched,105,QUEENS STIRLING ROAD,QUEENS,STIRLING ROAD,10 STIRLING ROAD QUEENS SINGAPORE 148954,148954,"project,street"
QUEENS PEAK,DUNDEE ROAD,03,QUEENSTOWN,1.294336667463013,103.8070201273504,matched,105,QUEENS PEAK DUNDEE ROAD,QUEENS PEAK,DUNDEE ROAD,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,149457,"project,street"
QUEENSWAY TOWER,QUEENSWAY,03,QUEENSTOWN,1.306387797516889,103.8013689024569,needs_review,60,QUEENSWAY,QUEENSWAY BOOSTER STATION,COMMONWEALTH CRESCENT,COMMONWEALTH CRESCENT QUEENSWAY BOOSTER STATION,NIL,"partial_project,street"
REGENCY SUITES,KIM TIAN ROAD,03,QUEENSTOWN,1.284341046172816,103.8291384504202,matched,105,REGENCY SUITES KIM TIAN ROAD,REGENCY SUITES,KIM TIAN ROAD,36 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169279,169279,"project,street"
RESIDENTIAL APARTMENTS,OUTRAM ROAD,03,QUEENSTOWN,1.281529149023795,103.8388611433613,low_confidence,35,OUTRAM ROAD,H.S. OF OUTRAM ROAD PRISON (HISTORIC SITE),NIL,H.S. OF OUTRAM ROAD PRISON (HISTORIC SITE),NIL,street
RESIDENTIAL APARTMENTS,YONG SIAK STREET,03,QUEENSTOWN,1.282722872656949,103.8303052214776,low_confidence,35,YONG SIAK STREET,NIL,YONG SIAK STREET,YONG SIAK STREET,NIL,street
RIVER PLACE,HAVELOCK ROAD,03,QUEENSTOWN,1.289609716468306,103.8412763893458,matched,105,RIVER PLACE HAVELOCK ROAD,RIVER PLACE,HAVELOCK ROAD,60 HAVELOCK ROAD RIVER PLACE SINGAPORE 169658,169658,"project,street"
RIVIERE,JIAK KIM STREET,03,QUEENSTOWN,1.29171194573221,103.8348461792844,low_confidence,35,RIVIERE,RIVIÈRE,JIAK KIM STREET,1 JIAK KIM STREET RIVIÈRE SINGAPORE 169423,169423,street
STIRLING RESIDENCES,STIRLING ROAD,03,QUEENSTOWN,1.292054817135471,103.8055464339278,matched,105,STIRLING RESIDENCES STIRLING ROAD,STIRLING RESIDENCES,STIRLING ROAD,21 STIRLING ROAD STIRLING RESIDENCES SINGAPORE 148960,148960,"project,street"
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,QUEENSTOWN,1.291997449507023,103.817880738443,matched,105,TANGLIN VIEW PRINCE CHARLES CRESCENT,TANGLIN VIEW,PRINCE CHARLES CRESCENT,152 PRINCE CHARLES CRESCENT TANGLIN VIEW SINGAPORE 159013,159013,"project,street"
THE ANCHORAGE,ALEXANDRA ROAD,03,QUEENSTOWN,1.289003462264966,103.804329262814,matched,105,THE ANCHORAGE ALEXANDRA ROAD,THE ANCHORAGE,ALEXANDRA ROAD,370G ALEXANDRA ROAD THE ANCHORAGE SINGAPORE 159960,159960,"project,street"
THE CREST,PRINCE CHARLES CRESCENT,03,QUEENSTOWN,1.29281920942183,103.8192931381553,matched,105,THE CREST PRINCE CHARLES CRESCENT,THE CREST,PRINCE CHARLES CRESCENT,105 PRINCE CHARLES CRESCENT THE CREST SINGAPORE 159019,159019,"project,street"
THE LANDMARK,CHIN SWEE ROAD,03,QUEENSTOWN,1.286170844858286,103.8395676266433,matched,105,THE LANDMARK CHIN SWEE ROAD,THE LANDMARK,CHIN SWEE ROAD,173 CHIN SWEE ROAD THE LANDMARK SINGAPORE 169878,169878,"project,street"
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,QUEENSTOWN,1.290477342230695,103.8160164509599,matched,105,THE METROPOLITAN CONDOMINIUM ALEXANDRA VIEW,THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,8 ALEXANDRA VIEW THE METROPOLITAN CONDOMINIUM SINGAPORE 158747,158747,"project,street"
