project_name,project_name_norm,postal_district,total_txns,unattributed_txns,in_edgeprop,reason
SERANGOON GARDEN ESTATE,SERANGOON GARDEN ESTATE,19,1,1,True,partial_match
SHIRO,SHIRO,15,8,1,True,partial_match
SIMS URBAN OASIS,SIMS URBAN OASIS,14,363,1,True,partial_match
SIN MING CENTRE,SIN MING CENTRE,20,1,1,True,partial_match
SIXTH AVENUE VILLE,SIXTH AVENUE VILLE,10,10,1,True,partial_match
SKYE AT HOLLAND,SKYE AT HOLLAND,10,666,1,True,partial_match
SOMMERVILLE LOFT,SOMMERVILLE LOFT,13,4,1,True,partial_match
SOPHIA VIEW,SOPHIA VIEW,09,1,1,True,partial_match
SOPHIA VILLE,SOPHIA VILLE,09,1,1,True,partial_match
SOUTH UNION PARK,SOUTH UNION PARK,15,1,1,True,partial_match
ST THOMAS VILLE,ST THOMAS VILLE,09,1,1,False,no_edgeprop_project
STILL 123,STILL 123,15,5,1,True,partial_match
STRAITS RESIDENCES,STRAITS RESIDENCES,15,9,1,True,partial_match
STUDIO8,STUDIO8,14,13,1,True,partial_match
SUNNY GROVE,SUNNY GROVE,14,4,1,True,partial_match
SUNRISE GARDENS,SUNRISE GARDENS,28,84,1,True,partial_match
SUNSHINE GROVE,SUNSHINE GROVE,19,4,1,True,partial_match
SYCAMORE TREE,SYCAMORE TREE,15,22,1,True,partial_match
TELOK BLANGAH HOUSE,TELOK BLANGAH HOUSE,04,1,1,True,partial_match
TELOK MANSION,TELOK MANSION,15,1,1,True,partial_match
TEMBELINA,TEMBELINA,15,1,1,True,partial_match
TERRENE AT BUKIT TIMAH,TERRENE AT BUKIT TIMAH,21,36,1,True,partial_match
THE ABODE AT DEVONSHIRE,ABODE AT DEVONSHIRE,09,7,1,True,partial_match
THE ARMADALE,ARMADALE,11,16,1,True,partial_match
THE BERTH BY THE COVE,BERTH BY THE COVE,04,53,1,True,partial_match
THE DAIRY FARM,DAIRY FARM,23,40,1,True,partial_match
THE DIAMOND,DIAMOND,14,2,1,True,partial_match
THE EASTSIDE,EASTSIDE,15,5,1,True,partial_match
THE ELEMENT @ STEVENS,ELEMENT AT STEVENS,10,6,1,True,partial_match
THE GRANGE,GRANGE,10,17,1,True,partial_match
THE HILLSHORE,HILLSHORE,05,11,1,True,partial_match
THE HYDE,HYDE,10,110,1,True,partial_match
THE LANDMARK,LANDMARK,03,378,1,True,partial_match
THE LEGEND,LEGEND,10,20,1,True,partial_match
THE LINCOLN MODERN,LINCOLN MODERN,11,27,1,True,partial_match
THE MEDLEY,MEDLEY,15,15,1,True,partial_match
THE MERLOT,MERLOT,08,8,1,True,partial_match
THE METZ,METZ,09,30,1,True,partial_match
THE MEYER PLACE,MEYER PLACE,15,3,1,True,partial_match
THE MORNINGSIDE,MORNINGSIDE,09,13,1,True,partial_match
THE NASSIM,NASSIM,10,13,1,True,partial_match
THE PALLADIUM,PALLADIUM,15,4,1,True,partial_match
THE PEARL @ MOUNT FABER,PEARL AT MOUNT FABER,04,58,1,True,partial_match
THE PETALS,PETALS,23,37,1,True,partial_match
THE RAINTREE,RAINTREE,21,71,1,True,partial_match
THE RICHMOND,RICHMOND,12,9,1,True,partial_match
THE SERENNO,SERENNO,15,12,1,True,partial_match
THE SHOREFRONT,SHOREFRONT,17,16,1,True,partial_match
THE SKYWOODS,SKYWOODS,23,129,1,True,partial_match
THE STRADIA,STRADIA,19,3,1,True,partial_match
THE TESSARINA,TESSARINA,10,71,1,True,partial_match
THE TRESOR,TRESOR,10,17,1,True,partial_match
THE WATERLINE,WATERLINE,19,36,1,True,partial_match
THOMSON GRAND,THOMSON GRAND,20,126,1,True,partial_match
THOMSON PLAZA,THOMSON PLAZA,20,1,1,True,partial_match
THOMSON V ONE,THOMSON V ONE,20,10,1,True,partial_match
TIARA VISTA,TIARA VISTA,15,1,1,True,partial_match
TIONG BAHRU ESTATE,TIONG BAHRU ESTATE,03,1,1,True,partial_match
UBER 388,UBER 388,16,25,1,True,partial_match
VA RESIDENCES,VA RESIDENCES,12,28,1,True,partial_match
VETRO,VETRO,12,18,1,True,partial_match
VIBES @ EAST COAST,VIBES AT EAST COAST,15,47,1,True,partial_match
VICTORY POINT,VICTORY POINT,12,1,1,True,partial_match
VILLA CHANCERITA,VILLA CHANCERITA,11,2,1,True,partial_match
VILLA MARINA,VILLA MARINA,15,81,1,True,partial_match
VILLAEA VISTA,VILLAEA VISTA,10,1,1,True,partial_match
VIVA,VIVA,11,32,1,True,partial_match
WATERFALL GARDENS,WATERFALL GARDENS,10,29,1,True,partial_match
WILKIE COURT,WILKIE COURT,09,2,1,True,partial_match
WILSHIRE RESIDENCES,WILSHIRE RESIDENCES,10,74,1,True,partial_match
WING FONG COURT,WING FONG COURT,14,12,1,True,partial_match
WORTHINGTON,WORTHINGTON,15,12,1,True,partial_match
YONG AN PARK,YONG AN PARK,09,34,1,True,partial_match
YUEN SING MANSION,YUEN SING MANSION,14,1,1,True,partial_match
