project_name,street_name,postal_district,planning_area,lat,lon,match_status,primary_1km_count,primary_1km_ranked_count,top_primary_1km_count,primary_1km_schools,best_primary_1km_school,best_primary_1km_rank,best_primary_1km_distance_m,best_primary_1km_metric,best_primary_1km_source_year,secondary_2km_count,secondary_2km_ranked_count,top_secondary_2km_count,best_secondary_2km_school,best_secondary_2km_rank,best_secondary_2km_distance_m,best_secondary_2km_metric,best_secondary_2km_source_year,jc_5km_count,jc_5km_ranked_count,top_jc_5km_count,best_jc_5km_school,best_jc_5km_rank,best_jc_5km_distance_m,best_jc_5km_metric,best_jc_5km_source_year,has_primary_1km,has_ranked_primary_1km
RIVER PLACE,HAVELOCK ROAD,3,QUEENSTOWN,1.289609716468306,103.8412763893458,matched,1,0,0,RIVER VALLEY PRIMARY SCHOOL,,,,,,2,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4043,IB 6,2025.0,True,False
STIRLING RESIDENCES,STIRLING ROAD,3,QUEENSTOWN,1.292054817135471,103.8055464339278,matched,1,0,0,QUEENSTOWN PRIMARY SCHOOL,,,,,,4,0,0,,,,,,8,5,5,HWA CHONG INSTITUTION,2,3732,Arts 5; Science 4,2025.0,True,False
TANGLIN VIEW,PRINCE CHARLES CRESCENT,3,QUEENSTOWN,1.291997449507023,103.817880738443,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; GAN ENG SENG PRIMARY SCHOOL,,,,,,6,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3975,Arts 5; Science 4,2025.0,True,False
THE ANCHORAGE,ALEXANDRA ROAD,3,QUEENSTOWN,1.289003462264966,103.804329262814,matched,1,0,0,QUEENSTOWN PRIMARY SCHOOL,,,,,,4,0,0,,,,,,6,5,5,HWA CHONG INSTITUTION,2,4074,Arts 5; Science 4,2025.0,True,False
THE CREST,PRINCE CHARLES CRESCENT,3,QUEENSTOWN,1.29281920942183,103.8192931381553,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; GAN ENG SENG PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3946,Arts 5; Science 4,2025.0,True,False
THE LANDMARK,CHIN SWEE ROAD,3,QUEENSTOWN,1.286170844858286,103.8395676266433,matched,1,0,0,RIVER VALLEY PRIMARY SCHOOL,,,,,,2,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4346,IB 6,2025.0,True,False
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,3,QUEENSTOWN,1.290477342230695,103.8160164509599,matched,2,0,0,GAN ENG SENG PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,6,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4071,Arts 5; Science 4,2025.0,True,False
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,3,QUEENSTOWN,1.281860960379268,103.8305621110602,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; CHIJ (KELLOCK),,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4653,IB 6,2025.0,True,False
TIONG BAHRU ESTATE,YONG SIAK STREET,3,QUEENSTOWN,1.28230406549113,103.8303585614807,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; CHIJ (KELLOCK),,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4602,IB 6,2025.0,True,False
TWIN REGENCY,KIM TIAN ROAD,3,QUEENSTOWN,1.284776655207778,103.8284589765843,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4323,IB 6,2025.0,True,False
