estate,model_version,path,start_score,start_band,end_score,end_band,delta,arrow,band_shift
BUKIT PANJANG,2.1.0,upgrader,3.784,B,3.857,B,0.073,→,B→B
GEYLANG,2.1.0,forming_family,2.919,D,3.842,B,0.923,↑,D→B
GEYLANG,2.1.0,settling_single,2.77,D,3.667,B,0.897,↑,D→B
GEYLANG,2.1.0,ageing_in_place,3.01,C,3.781,B,0.771,↑,C→B
GEYLANG,2.1.0,downsizing,3.058,C,3.781,B,0.723,↑,C→B
GEYLANG,2.1.0,upgrader,2.919,D,3.48,C,0.561,↑,D→C
CLEMENTI,2.1.0,forming_family,2.519,D,3.806,B,1.287,↑,D→B
CLEMENTI,2.1.0,settling_single,2.379,F,3.622,B,1.243,↑,F→B
CLEMENTI,2.1.0,ageing_in_place,2.584,D,3.716,B,1.132,↑,D→B
CLEMENTI,2.1.0,downsizing,2.649,D,3.716,B,1.067,↑,D→B
CLEMENTI,2.1.0,upgrader,2.519,D,3.422,C,0.903,↑,D→C
BUKIT TIMAH,2.1.0,forming_family,2.751,D,3.907,B,1.156,↑,D→B
BUKIT TIMAH,2.1.0,settling_single,2.676,D,3.939,B,1.263,↑,D→B
BUKIT TIMAH,2.1.0,ageing_in_place,2.631,D,3.772,B,1.141,↑,D→B
BUKIT TIMAH,2.1.0,downsizing,2.725,D,3.772,B,1.047,↑,D→B
BUKIT TIMAH,2.1.0,upgrader,2.751,D,3.831,B,1.08,↑,D→B
JURONG WEST,2.1.0,forming_family,2.432,F,3.876,B,1.444,↑,F→B
JURONG WEST,2.1.0,settling_single,2.29,F,3.896,B,1.606,↑,F→B
JURONG WEST,2.1.0,ageing_in_place,2.402,F,3.708,B,1.306,↑,F→B
JURONG WEST,2.1.0,downsizing,2.555,D,3.708,B,1.153,↑,D→B
JURONG WEST,2.1.0,upgrader,2.432,F,3.674,B,1.242,↑,F→B
KALLANG,2.1.0,forming_family,3.742,B,3.829,B,0.087,→,B→B
KALLANG,2.1.0,settling_single,3.57,B,3.781,B,0.211,↑,B→B
KALLANG,2.1.0,ageing_in_place,3.773,B,3.793,B,0.02,→,B→B
KALLANG,2.1.0,downsizing,3.816,B,3.793,B,-0.023,→,B→B
KALLANG,2.1.0,upgrader,3.742,B,3.606,B,-0.136,↓,B→B
HOLLAND VILLAGE,2.1.0,forming_family,3.85,B,4.04,B+,0.19,↑,B→B+
HOLLAND VILLAGE,2.1.0,settling_single,3.673,B,3.85,B,0.177,↑,B→B
HOLLAND VILLAGE,2.1.0,ageing_in_place,3.983,B,3.983,B,0.0,→,B→B
HOLLAND VILLAGE,2.1.0,downsizing,4.04,B+,3.983,B,-0.057,→,B+→B
HOLLAND VILLAGE,2.1.0,upgrader,3.85,B,3.673,B,-0.177,↓,B→B
